"","Features","L1","varL1","L2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"4703","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta","66.093783982885","1607.27596890734","76.4311754849289","4","2","7","7","-39.7835768909413","-27.825662626704","154.513533793307"
"4704","ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta","63.7636959970076","1162.74183010938","71.6355749945449","3","2","6","7","-33.7819244261341","-28.3677837549433","186.632960354337"
"4705","ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log","61.8978842670138","1359.75907214067","71.2586408294572","4","2","7","7","-30.7572510377872","-25.7907127411282","174.081535539241"
"4706","ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","65.948443081375","1670.95357183493","76.6870561809882","4","2","7","7","-38.2464535348829","-27.3644110151848","155.415292472335"
"4707","ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","59.8898471834685","1566.92572875972","70.8741305439129","4","3","7","7","-29.2615491020775","-21.1913425675386","186.652287858565"
"4708","ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log","63.2688334460175","1163.82801434138","71.2024411948039","3","2","6","7","-33.5859679840657","-28.0821920369565","186.967825151763"
"4709","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta","65.6418165076046","1702.83376860581","76.6144831541228","4","2","7","7","-38.5359165710966","-27.4241434240556","156.633121491288"
"4710","ThreeMonthBefore+NumTweets_Week1_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log","55.7993947978927","1432.61237349789","66.5342052545217","4","2","7","7","-23.0356571786512","-14.8685512315454","174.846922467083"
"4711","ThreeMonthBefore+NumTweets_Week1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","66.5699645046168","1742.63243525888","77.6464631506157","4","2","7","7","-39.5018534926027","-28.0933628337925","151.438752918933"
"4712","ThreeMonthBefore+NumTweets_Week1_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumTweets_Week1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","48.9978825078896","1714.09143849746","63.0241459723676","6","5","8","7","-15.1537822508289","-18.9960934140507","180.273989893765"
"4713","ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Week1_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log","52.4643056144954","1313.03767905485","62.8977045374321","4","3","7","7","-19.3698643298727","-17.3302680797235","184.368325784015"
"4714","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Week1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","65.6372625618097","1532.72762427025","75.5860473821437","4","2","7","7","-41.5559698495301","-28.7759912366965","140.454140108044"
"4715","ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week1_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log","57.4550080219929","1345.46268901776","67.3380928232567","4","2","7","7","-25.5822931841059","-23.6675740228936","177.60372285796"
"4716","ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumDistinctUsers_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","65.788572158146","2020.62318160386","78.6153556442874","4","2","7","7","-41.0631090671738","-26.7748421134465","151.834464371682"
"4717","ThreeMonthBefore+NumTweets_Week2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","51.3800837965879","1311.36696971622","61.9838640280754","5","3","8","7","-19.2403990616017","-16.375283364981","181.733253325951"
"4718","ThreeMonthBefore+NumTweets_Week2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","68.6219760858773","1702.70167157715","79.1819769110566","4","2","7","7","-40.1127726879088","-24.6624027674326","148.631678397125"
"4719","ThreeMonthBefore+NumTweets_Week2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log+NumTweets_Week2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","54.6921235323415","1307.99570740237","64.7319429771403","4","3","7","7","-24.0021450687695","-18.5641975262071","179.368488451914"
"4720","ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumVerifiedTweets_Month1_Log+NumTweets_Week2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","52.9963982279295","1241.63842674737","62.8234572670515","4","3","7","7","-18.9978705011033","-18.9408773503995","198.348434500184"
"4721","ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","69.4853634258751","1516.73135908461","78.8578011967544","4","2","7","7","-41.78608048151","-29.0375718731172","158.721861264937"
"4722","ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","57.1473095776453","1261.48646969086","66.4994555555145","4","2","7","7","-24.5416328868517","-14.9305259185963","177.221310727501"
"4723","ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumDistinctUsers_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","67.5485474487927","1826.94180065838","78.977863436822","4","2","7","7","-38.980494467578","-24.2731914255072","150.5863637945"
"4724","ThreeMonthBefore+NumTweets_Week1_Log+NumDistinctUsers_Week1_Log+NumVerifiedTweets_Week1_Log+NumTweets_Week2_Log+NumDistinctUsers_Week2_Log+NumVerifiedTweets_Week2_Log","52.6957180843639","1233.11179227699","62.5075289919596","5","2","8","7","-19.9073487360942","-19.5660798511788","177.267298682087"
