"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"3031","NumTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta+NumTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta","67.9535659499595","82.8718972759341","4","4","6","7","143.187355154649"
"3032","NumTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","63.6155085455367","76.3056263339793","4","3","7","7","155.780864183974"
"3033","NumTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute+NumTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute","57.0306500823022","65.7392788022558","4","2","5","5","218.501702025008"
"3034","NumTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log","50.3234953589304","61.3241607808757","6","5","7","7","174.228778716732"
"3035","NumTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta+NumTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta","77.5935854402284","85.3235866038815","2","3","5","7","151.832360310744"
"3036","NumTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","65.2121001372526","75.8608329665518","4","2","7","7","151.899306994743"
"3037","NumTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute+NumTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute","47.790137578171","61.4186524732133","6","5","6","7","238.934563788518"
"3038","NumTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log+NumTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log","49.1704168585396","61.0950334161198","6","4","7","7","174.552571709952"
"3039","NumTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta+NumTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta","78.5245778621171","86.935435155709","2","3","4","7","205.685677030288"
"3040","NumTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","65.2542585348064","76.5117109698613","4","2","7","7","153.867915801359"
