,Features,L1,L2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
6075,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,56.5583963,67.89500337,4,2,7,7,-25.79807279,-16.72872224,184.3299351
6076,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,65.75928715,75.09874802,4,2,7,7,-37.86125791,-25.86309831,177.4548553
6077,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,53.09514357,66.46615865,5,3,8,7,-15.632962,-7.2794893,182.4220495
6078,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctTweets_Month1_Log+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,51.57053403,61.00693573,5,3,7,7,-19.13827694,-17.8396228,210.1070851
6079,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,63.83548031,72.01905982,4,2,7,7,-35.67504169,-24.50685666,192.4084682
6080,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,62.06629396,71.58053204,4,2,7,7,-34.00827088,-23.5614845,186.3773551
6081,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,66.03700616,74.90524971,4,2,7,7,-38.13876061,-25.7413627,181.4660623
6082,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,60.25106645,70.91720937,4,2,7,7,-31.04625735,-21.18161554,187.4738633
6083,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctTweets_Month1_Log+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,51.02177756,60.98767399,5,3,7,7,-17.51005092,-14.31426155,208.8287887
6084,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctTweets_Month1_LogDelta+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,64.18976501,71.51737102,4,2,7,7,-36.75299266,-23.69033038,202.846592
6085,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,57.86053121,68.77058628,4,2,7,7,-27.49377843,-17.82892798,184.3565355
6086,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,66.37100411,75.13873883,4,2,7,7,-38.98466259,-25.65502776,181.4245186
6087,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctTweets_Month1_Log+NumTweets_Month2_Log+NumDistinctTweets_Month2_Log+NumTweets_Week1_Log+NumDistinctTweets_Week1_Log+NumTweets_Week2_Log+NumDistinctTweets_Week2_Log,54.77702434,62.91790285,5,3,7,7,-24.29031342,-20.66930046,216.0259808
6088,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctTweets_Month1_LogDelta+NumTweets_Month2_LogDelta+NumDistinctTweets_Month2_LogDelta+NumTweets_Week1_LogDelta+NumDistinctTweets_Week1_LogDelta+NumTweets_Week2_LogDelta+NumDistinctTweets_Week2_LogDelta,63.41362865,71.21953185,4,3,7,7,-35.6130054,-15.76850615,222.0624732
6089,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log,56.49817772,66.52574089,4,3,7,7,-26.40401684,-16.91382278,195.6571786
6090,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta,65.07423289,73.9145106,4,2,7,7,-37.06070514,-25.47151846,185.2398864
6091,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month1_LogDelta,57.27527737,66.98478593,4,2,7,7,-27.95601483,-19.19910834,196.7876437
6092,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log,59.93938816,69.59565922,4,2,7,7,-30.27587478,-21.53686972,184.9692352
6093,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_LogDelta,64.30645503,74.01985317,4,2,7,7,-36.29676586,-24.67634374,182.8570586
6094,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Month2_LogDelta,55.91586559,66.95963648,4,3,7,7,-24.67591446,-14.23229403,192.5273466
6095,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log,57.51291237,67.16030838,4,2,7,7,-28.32003264,-19.71409617,197.1776814
6096,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta,64.45168137,73.92252391,4,2,7,7,-36.607672,-25.00046987,185.6303907
6097,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta,59.37864731,72.0899231,4,3,7,7,-25.56044338,-21.80220949,203.6859356
6098,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week1_Log,63.468298,72.73254854,4,2,7,7,-34.96186113,-24.45731156,184.0414057
6099,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week1_LogDelta,65.12548611,74.46341342,4,2,7,7,-36.72190279,-25.34557461,179.4827825
6100,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week1_LogDelta,63.53429217,72.72878914,4,2,7,7,-34.66463939,-24.43773873,184.8969246
6101,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Week1_Log,52.67632526,62.75824242,5,3,7,7,-13.35853123,1.479252545,200.0798229
6102,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Week1_LogDelta,65.31751063,72.40812759,4,2,7,7,-36.7821852,-23.98868869,203.63264
6103,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Week1_LogDelta,53.77957467,62.60289245,5,3,7,7,-21.33531469,-16.94195869,215.9767028
6104,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log,59.99279776,69.63081049,4,2,7,7,-30.3615781,-21.59810836,185.2604499
6105,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta,64.068449,73.52763672,4,2,7,7,-35.72826026,-23.92380227,183.8108969
6106,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta,55.78154328,67.5654882,4,2,7,7,-17.26956447,-1.435333613,186.6429286
6107,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log,54.70903973,63.0428739,5,3,7,7,-22.59111432,-17.79307482,220.0483366
6108,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta,63.05331851,71.41968423,6,4,8,7,-31.85639565,-17.83252625,227.4927998
6109,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta,56.89404237,67.51781023,3,4,6,7,-23.6686104,-21.1934889,228.9719593
6110,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week2_Log,61.8788702,71.2366944,4,2,7,7,-33.57076271,-23.14264554,186.2947116
6111,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week2_LogDelta,65.18071022,74.39928648,4,2,7,7,-36.77283056,-25.23240909,179.6979962
6112,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Week2_Log+NumDistinctUsers_Week2_LogDelta,61.55923755,70.89262199,4,2,7,7,-32.82156019,-22.97359421,186.8640001
6113,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Week2_Log,50.14475688,60.85044728,5,3,7,7,-14.12672472,-6.473485492,206.405311
6114,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Week2_LogDelta,64.01918124,70.52847491,3,3,7,7,-34.64826584,-24.01639846,213.0267542
6115,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Week2_LogDelta,50.40430228,58.04799347,5,5,7,8,-16.68928331,-14.49039477,234.8617586
6116,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week2_Log,59.69845039,69.37631815,4,2,7,7,-30.25744662,-21.22842962,186.6171272
6117,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta,64.10891672,73.81840477,4,2,7,7,-35.77494161,-24.56305183,182.9317019
6118,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta,55.94268069,67.04280858,4,3,7,7,-24.06499579,-13.24398097,191.0532557
6119,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week2_Log,50.22989991,58.17000389,5,5,7,8,-16.08562359,-14.35957539,235.683969
6120,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week2_LogDelta,61.47208238,68.40513728,4,3,7,7,-30.53620802,-19.45424361,231.5607464
