#Field:candidate	Id	NumTweets	NumDistinctTweets	NumDistinctUsers	PositiveRatio	NonNegativeRatio	NormalizedNumTweets	NormalizedNumDistinctTweets	NormalizedNumDistinctUsers
lasers-best rap album	w4	1205	1089	1019	0.370124481327801	0.754356846473029	0.386713735558408	0.383046078086528	0.373396848662514
look at me now-best rap song	w5	14542	12993	12340	0.201485352771283	0.928001650391968	0.403652917337478	0.399477325134512	0.397154903286022
look at me now-best rap song	w2	11263	10707	10220	0.175974429548078	0.932344845955784	0.272178052729514	0.285672358591249	0.287256169542976
look at me now-best rap song	w3	12220	11258	10678	0.175450081833061	0.92847790507365	0.282478039759593	0.290326740077881	0.289722161927502
rolling in the deep-record of the year	w1	71490	58381	54370	0.233011610015387	0.892600363687229	0.334010792627374	0.313576254981792	0.315135426508007
look at me now-best rap song	w4	14619	13229	12560	0.189274232163623	0.931390655995622	0.349569583931133	0.352369283221906	0.351210782394721
lotus flower-best rock song	w5	1672	1622	1580	0.378588516746411	0.969497607655502	0.325481798715203	0.346581196581197	0.347329083315014
lotus flower-best rock song	w2	1690	1589	1516	0.446153846153846	0.969230769230769	0.333596525858666	0.326350379954816	0.319898712808609
lotus flower-best rock song	w3	1724	1617	1577	0.444315545243619	0.968677494199536	0.333268896191765	0.328125	0.329090150250417
far away-best r&b song	w1	580	548	540	0.431034482758621	0.789655172413793	0.2081090778615	0.204936424831713	0.306296086216676
lotus flower-best rock song	w4	1670	1630	1582	0.389820359281437	0.968862275449102	0.3125	0.327177840224809	0.326387456158449
loud-album of the year	w5	10762	9009	8343	0.502230068760453	0.889054079167441	0.30831375694723	0.307621389059619	0.313540531399151
loud-album of the year	w2	5368	4921	4595	0.452123695976155	0.843144560357675	0.217020416413988	0.229996260983361	0.229991491065619
loud-album of the year	w3	5978	5329	5022	0.459852793576447	0.854131816661091	0.192788957688338	0.202523467487554	0.206445778179725
rolling in the deep-song of the year	w1	71490	58381	54370	0.23309553783746	0.892460483983774	0.334010792627374	0.313576254981792	0.315135426508007
