#Field:candidate	WeekId	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
job opening	02/17/2012	15106	9474	7303	597	18	9147	7627	5675	348	18
job opportunity	02/17/2012	4720	3422	2935	368	7	5702	4618	3333	314	4
job posting	02/17/2012	3750	2974	2505	177	2	2925	2671	2225	114	4
we are hiring	02/17/2012	48007	42531	9550	1011	47	31629	15622	5218	942	390
all	02/18/2011	276679	273518	122149	2146	576	235903	233458	108630	1839	377
all old	02/18/2011	16462	15851	10933	318	25	12395	11937	7967	262	49
hashtags	02/18/2011	204668	202510	96196	1442	493	174310	172479	86601	1291	383
job opening	02/18/2011	3394	3247	2796	83	10	2021	1934	1720	55	26
job opportunity	02/18/2011	2615	2535	2181	53	2	1967	1901	1687	50	1
job posting	02/18/2011	2300	2236	1867	43	3	2097	2038	1733	37	2
we are hiring	02/18/2011	4655	4437	2461	104	6	3583	3430	1487	71	12
all	02/21/2014	338946	306289	160689	19354	3174	334323	300481	159203	19328	3991
all old	02/21/2014	27584	22020	17631	2409	927	24541	18877	15555	2303	845
hashtags	02/21/2014	370010	338049	166115	19829	2345	367807	335472	165849	20135	2394
job opening	02/21/2014	9501	8165	6750	420	282	9007	8133	6371	436	175
job opportunity	02/21/2014	6981	5720	4960	533	84	6782	5476	4888	515	177
job posting	02/21/2014	4101	3496	2311	392	30	3174	2561	1876	398	32
we are hiring	02/21/2014	7387	4361	3984	970	325	6770	3833	3562	951	233
all	02/22/2013	351750	333570	196642	7691	4271	383732	372408	206776	6534	990
all old	02/22/2013	33151	30516	23585	1199	447	34525	31898	23208	1029	794
hashtags	02/22/2013	385822	365562	202891	7951	1361	341957	329131	183309	5374	753
job opening	02/22/2013	14311	13432	9977	300	97	11365	11141	7565	154	56
job opportunity	02/22/2013	8074	7479	5314	269	49	8287	7792	5268	246	140
job posting	02/22/2013	4477	4301	3376	108	32	5001	4807	3504	118	20
we are hiring	02/22/2013	4078	3214	3116	279	242	3672	3062	2986	237	89
all	02/24/2012	385937	328769	173084	7497	740	461690	423917	200410	9283	709
all old	02/24/2012	58397	19833	15254	1774	73	72582	59736	21880	2033	109
hashtags	02/24/2012	315764	296896	155314	5337	445	328756	308391	162487	6208	471
job opening	02/24/2012	33962	6863	5491	470	57	15106	9474	7303	597	18
job opportunity	02/24/2012	4692	3166	2661	282	11	4720	3422	2935	368	7
job posting	02/24/2012	2719	2379	2004	108	1	3750	2974	2505	177	2
we are hiring	02/24/2012	12029	5699	3914	795	116	48007	42531	9550	1011	47
all	02/25/2011	198943	196179	100751	1561	514	276679	273518	122149	2146	576
all old	02/25/2011	11297	10642	9082	305	51	16462	15851	10933	318	25
hashtags	02/25/2011	237440	234926	110544	1727	512	204668	202510	96196	1442	493
job opening	02/25/2011	3705	3439	2989	81	0	3394	3247	2796	83	10
job opportunity	02/25/2011	2147	2098	1832	36	1	2615	2535	2181	53	2
job posting	02/25/2011	2326	2261	1841	35	11	2300	2236	1867	43	3
we are hiring	02/25/2011	1543	1390	1326	86	5	4655	4437	2461	104	6
all	02/28/2014	347602	311883	158515	19427	3018	338946	306289	160689	19354	3174
all old	02/28/2014	32576	23981	18581	2664	1419	27584	22020	17631	2409	927
hashtags	02/28/2014	392370	359234	167422	20792	3015	370010	338049	166115	19829	2345
job opening	02/28/2014	8922	7813	6304	457	133	9501	8165	6750	420	282
job opportunity	02/28/2014	6924	5693	5067	577	142	6981	5720	4960	533	84
job posting	02/28/2014	6440	4660	2470	441	26	4101	3496	2311	392	30
we are hiring	02/28/2014	7703	4001	3743	1001	357	7387	4361	3984	970	325
all	03/01/2013	314713	302986	182350	7963	890	351750	333570	196642	7691	4271
all old	03/01/2013	34133	31032	24157	1242	686	33151	30516	23585	1199	447
hashtags	03/01/2013	387440	374648	204861	9417	1083	385822	365562	202891	7951	1361
job opening	03/01/2013	13432	12890	9297	242	86	14311	13432	9977	300	97
job opportunity	03/01/2013	7846	7315	5255	305	26	8074	7479	5314	269	49
job posting	03/01/2013	4656	4358	3282	133	116	4477	4301	3376	108	32
we are hiring	03/01/2013	5352	4609	4460	343	119	4078	3214	3116	279	242
all	03/02/2012	378227	321498	177479	8002	996	385937	328769	173084	7497	740
all old	03/02/2012	40983	18935	15809	2124	236	58397	19833	15254	1774	73
hashtags	03/02/2012	358249	320228	170843	6287	910	315764	296896	155314	5337	445
job opening	03/02/2012	12071	6248	5063	390	44	33962	6863	5491	470	57
job opportunity	03/02/2012	5873	3576	3030	387	37	4692	3166	2661	282	11
job posting	03/02/2012	4389	2500	2168	184	9	2719	2379	2004	108	1
we are hiring	03/02/2012	13197	3628	3431	958	237	12029	5699	3914	795	116
all	03/04/2011	157345	155229	84555	1289	350	198943	196179	100751	1561	514
all old	03/04/2011	8961	8515	7105	236	7	11297	10642	9082	305	51
hashtags	03/04/2011	203723	201081	97545	1531	424	237440	234926	110544	1727	512
job opening	03/04/2011	2688	2529	2208	67	4	3705	3439	2989	81	0
job opportunity	03/04/2011	1635	1573	1396	40	1	2147	2098	1832	36	1
job posting	03/04/2011	1847	1828	1398	10	0	2326	2261	1841	35	11
we are hiring	03/04/2011	1293	1127	1104	78	2	1543	1390	1326	86	5
all	03/07/2014	375310	338120	170591	20916	2884	347602	311883	158515	19427	3018
all old	03/07/2014	30968	24337	19340	2670	1124	32576	23981	18581	2664	1419
hashtags	03/07/2014	433666	391107	181868	22587	2487	392370	359234	167422	20792	3015
job opening	03/07/2014	8977	8151	6609	439	125	8922	7813	6304	457	133
job opportunity	03/07/2014	7881	6406	5673	704	90	6924	5693	5067	577	142
job posting	03/07/2014	4741	4052	2419	448	84	6440	4660	2470	441	26
we are hiring	03/07/2014	6478	3842	3601	935	368	7703	4001	3743	1001	357
all	03/08/2013	343709	328937	201566	8387	1201	314713	302986	182350	7963	890
all old	03/08/2013	41055	31855	24952	1241	282	34133	31032	24157	1242	686
hashtags	03/08/2013	424609	409342	229852	9780	898	387440	374648	204861	9417	1083
job opening	03/08/2013	12012	11544	8175	278	59	13432	12890	9297	242	86
job opportunity	03/08/2013	8490	7852	5868	351	49	7846	7315	5255	305	26
job posting	03/08/2013	4600	4419	3166	120	26	4656	4358	3282	133	116
we are hiring	03/08/2013	5978	5138	5009	330	167	5352	4609	4460	343	119
all	03/09/2012	334228	290184	168103	7072	1159	378227	321498	177479	8002	996
all old	03/09/2012	46853	18656	15611	2024	290	40983	18935	15809	2124	236
hashtags	03/09/2012	390473	362618	192543	7001	954	358249	320228	170843	6287	910
job opening	03/09/2012	8583	6071	5017	363	17	12071	6248	5063	390	44
job opportunity	03/09/2012	7257	3773	3244	447	2	5873	3576	3030	387	37
job posting	03/09/2012	2897	2546	2128	104	7	4389	2500	2168	184	9
we are hiring	03/09/2012	17720	2409	2291	761	438	13197	3628	3431	958	237
all	03/11/2011	48934	48003	28675	454	243	157345	155229	84555	1289	350
all old	03/11/2011	2736	2581	2193	79	5	8961	8515	7105	236	7
hashtags	03/11/2011	62754	61664	33204	531	301	203723	201081	97545	1531	424
job opening	03/11/2011	709	688	574	16	0	2688	2529	2208	67	4
job opportunity	03/11/2011	474	450	418	13	0	1635	1573	1396	40	1
job posting	03/11/2011	651	638	529	8	0	1847	1828	1398	10	0
we are hiring	03/11/2011	380	332	327	21	4	1293	1127	1104	78	2
all	03/14/2014	388319	351655	181434	21535	3301	375310	338120	170591	20916	2884
all old	03/14/2014	31726	24947	19957	2812	676	30968	24337	19340	2670	1124
hashtags	03/14/2014	447086	408668	194684	23527	3019	433666	391107	181868	22587	2487
job opening	03/14/2014	8622	7860	6392	433	108	8977	8151	6609	439	125
job opportunity	03/14/2014	11534	6735	6140	593	103	7881	6406	5673	704	90
job posting	03/14/2014	4900	4352	2334	385	32	4741	4052	2419	448	84
we are hiring	03/14/2014	6780	3885	3676	1045	295	6478	3842	3601	935	368
all	03/15/2013	326275	311866	194017	7613	1147	343709	328937	201566	8387	1201
all old	03/15/2013	35036	32395	26044	1218	242	41055	31855	24952	1241	282
hashtags	03/15/2013	408078	394024	224997	9089	1446	424609	409342	229852	9780	898
job opening	03/15/2013	8967	8525	6470	192	71	12012	11544	8175	278	59
job opportunity	03/15/2013	7866	7253	5473	343	95	8490	7852	5868	351	49
job posting	03/15/2013	3945	3759	2994	133	11	4600	4419	3166	120	26
we are hiring	03/15/2013	7167	6301	6161	337	148	5978	5138	5009	330	167
all	03/16/2012	357026	309971	175133	6588	1155	334228	290184	168103	7072	1159
all old	03/16/2012	44131	32154	18319	1865	161	46853	18656	15611	2024	290
hashtags	03/16/2012	421894	372942	198206	6916	1930	390473	362618	192543	7001	954
job opening	03/16/2012	7265	6293	5113	259	21	8583	6071	5017	363	17
job opportunity	03/16/2012	6015	4453	3467	351	6	7257	3773	3244	447	2
job posting	03/16/2012	2930	2703	2247	94	6	2897	2546	2128	104	7
we are hiring	03/16/2012	19486	12290	4669	723	33	17720	2409	2291	761	438
all	03/18/2011	8431	7984	6767	180	65	48934	48003	28675	454	243
all old	03/18/2011	505	414	405	33	0	2736	2581	2193	79	5
hashtags	03/18/2011	10865	10128	8199	217	353	62754	61664	33204	531	301
job opening	03/18/2011	138	112	108	5	2	709	688	574	16	0
job opportunity	03/18/2011	220	89	88	4	0	474	450	418	13	0
job posting	03/18/2011	93	92	89	1	0	651	638	529	8	0
we are hiring	03/18/2011	89	56	56	13	0	380	332	327	21	4
all	03/21/2014	431757	395471	196324	23147	3734	388319	351655	181434	21535	3301
all old	03/21/2014	33819	27526	19931	2491	866	31726	24947	19957	2812	676
hashtags	03/21/2014	436481	403872	192946	21847	2990	447086	408668	194684	23527	3019
job opening	03/21/2014	12792	11088	7193	491	353	8622	7860	6392	433	108
job opportunity	03/21/2014	8578	7299	6531	580	62	11534	6735	6140	593	103
job posting	03/21/2014	5836	4739	2359	456	80	4900	4352	2334	385	32
we are hiring	03/21/2014	7370	4161	3918	1054	440	6780	3885	3676	1045	295
all	03/22/2013	314349	300898	187133	8269	1226	326275	311866	194017	7613	1147
all old	03/22/2013	30399	28227	22629	1068	360	35036	32395	26044	1218	242
hashtags	03/22/2013	382191	367628	211107	9402	1067	408078	394024	224997	9089	1446
job opening	03/22/2013	9853	9390	6957	211	148	8967	8525	6470	192	71
job opportunity	03/22/2013	7928	7284	5349	374	79	7866	7253	5473	343	95
job posting	03/22/2013	4244	4069	3143	120	4	3945	3759	2994	133	11
we are hiring	03/22/2013	6833	6051	5893	342	200	7167	6301	6161	337	148
all	03/23/2012	443041	403216	182668	6695	898	357026	309971	175133	6588	1155
all old	03/23/2012	144338	131123	26345	2157	178	44131	32154	18319	1865	161
hashtags	03/23/2012	416856	379578	202343	6777	1409	421894	372942	198206	6916	1930
job opening	03/23/2012	15175	13136	8524	352	12	7265	6293	5113	259	21
job opportunity	03/23/2012	7493	6086	3847	377	27	6015	4453	3467	351	6
job posting	03/23/2012	2672	2364	2052	103	18	2930	2703	2247	94	6
we are hiring	03/23/2012	92140	84014	12651	862	43	19486	12290	4669	723	33
all	03/25/2011	1624	1353	1211	51	202	8431	7984	6767	180	65
all old	03/25/2011	111	63	62	7	0	505	414	405	33	0
hashtags	03/25/2011	1958	1704	1510	61	126	10865	10128	8199	217	353
job opening	03/25/2011	17	17	17	0	0	138	112	108	5	2
job opportunity	03/25/2011	10	8	8	2	0	220	89	88	4	0
job posting	03/25/2011	2	2	2	0	0	93	92	89	1	0
we are hiring	03/25/2011	12	7	7	3	0	89	56	56	13	0
all	03/28/2014	373889	342130	180313	19451	2791	431757	395471	196324	23147	3734
all old	03/28/2014	34192	28071	19361	2431	656	33819	27526	19931	2491	866
hashtags	03/28/2014	477578	442545	208749	23470	2367	436481	403872	192946	21847	2990
job opening	03/28/2014	12675	11816	6942	422	136	12792	11088	7193	491	353
job opportunity	03/28/2014	8553	7262	6451	562	201	8578	7299	6531	580	62
job posting	03/28/2014	5820	5156	2393	476	67	5836	4739	2359	456	80
we are hiring	03/28/2014	7503	4051	3774	1056	463	7370	4161	3918	1054	440
all	03/29/2013	330694	317663	195540	8546	979	314349	300898	187133	8269	1226
all old	03/29/2013	33240	29240	22481	1162	223	30399	28227	22629	1068	360
hashtags	03/29/2013	344385	332117	196369	8612	937	382191	367628	211107	9402	1067
job opening	03/29/2013	10220	9926	6701	187	29	9853	9390	6957	211	148
job opportunity	03/29/2013	9276	8570	5894	418	42	7928	7284	5349	374	79
job posting	03/29/2013	4729	4489	3506	141	26	4244	4069	3143	120	4
we are hiring	03/29/2013	6602	5886	5725	329	78	6833	6051	5893	342	200
all	03/30/2012	467474	370629	181122	7286	1565	443041	403216	182668	6695	898
all old	03/30/2012	120997	97452	24165	2055	160	144338	131123	26345	2157	178
hashtags	03/30/2012	386321	306890	167051	5721	1000	416856	379578	202343	6777	1409
job opening	03/30/2012	26065	20421	11966	455	25	15175	13136	8524	352	12
job opportunity	03/30/2012	15718	6137	3800	399	18	7493	6086	3847	377	27
job posting	03/30/2012	2565	2257	1992	113	4	2672	2364	2052	103	18
we are hiring	03/30/2012	57886	52693	10863	775	32	92140	84014	12651	862	43
all	04/01/2011	396	250	213	58	0	1624	1353	1211	51	202
all old	04/01/2011	138	22	22	12	75	111	63	62	7	0
hashtags	04/01/2011	409	301	237	49	9	1958	1704	1510	61	126
job opening	04/01/2011	56	4	4	4	46	17	17	17	0	0
job opportunity	04/01/2011	11	5	5	3	0	10	8	8	2	0
