Date,Consensus,DeltaConsensus
2/25/2000,280,2
3/3/2000,280,5
3/10/2000,280,0
3/17/2000,270,8
3/24/2000,270,4
3/31/2000,270,4
4/7/2000,265,5
4/14/2000,265,1
4/21/2000,260,3
4/28/2000,273,-10
5/5/2000,287,-16
5/12/2000,290,-7
5/19/2000,275.5,-0.5
5/26/2000,280,-4
6/2/2000,285,-1
6/9/2000,290,-19
6/16/2000,295,-1
6/23/2000,300,-2
6/30/2000,302.5,-3.5
7/7/2000,305,9
7/14/2000,315,-4
7/21/2000,300,-11
7/28/2000,282.5,10.5
8/4/2000,285,9
8/11/2000,290,-3
8/18/2000,305,-8
8/25/2000,310,-4
9/1/2000,315,-3
9/8/2000,315,-1
9/15/2000,317,-7
9/22/2000,310,2
9/29/2000,300,13
10/6/2000,301.5,2.5
10/13/2000,305,-1
10/20/2000,307,0
10/27/2000,308,3
11/3/2000,310,2
11/10/2000,315,-29
11/17/2000,320,-6
11/24/2000,330,-6
12/1/2000,344.5,-13.5
12/8/2000,350,-2
12/15/2000,336,16
12/22/2000,352.5,-1.5
12/29/2000,340,7
1/5/2001,370,-5
1/12/2001,358,13
1/19/2001,332.5,26.5
1/26/2001,315,-1
2/2/2001,350,4
2/9/2001,360,-1
2/16/2001,350,-2
2/23/2001,350,2
3/2/2001,360,-12
3/9/2001,365,-5
3/16/2001,375,0
3/23/2001,375,-4
3/30/2001,372,10
4/6/2001,380,-3
4/13/2001,385,-7
4/20/2001,390,5
4/27/2001,400,-8
5/4/2001,416,-5
5/11/2001,395,11
5/18/2001,390,10
5/25/2001,410,3
6/1/2001,416,-3
6/8/2001,420,-12
6/15/2001,430,2
6/22/2001,417,17
6/29/2001,395,7
7/6/2001,390,-9
7/13/2001,420,-25
7/20/2001,405,-9
7/27/2001,390,24
8/3/2001,375,29
8/10/2001,395,10
8/17/2001,390,10
8/24/2001,400,7
8/31/2001,400,1
9/7/2001,406,4
9/14/2001,420,-11
9/21/2001,435,48
9/28/2001,465.5,15.5
10/5/2001,510,-18
10/12/2001,480,12
10/19/2001,500,10
10/26/2001,505,1
11/2/2001,500,1
11/9/2001,475,25
11/16/2001,453.5,9.5
11/23/2001,440,13
11/30/2001,455.5,-32.5
12/7/2001,465,-10
12/14/2001,440,46
12/21/2001,400,16
12/28/2001,392,0
1/4/2002,425,-22
1/11/2002,430,35
1/18/2002,395,11
1/25/2002,380,4
2/1/2002,390,0
2/8/2002,380,4
2/15/2002,375,2
2/22/2002,383.5,0.5
3/1/2002,375,-3
3/8/2002,375,-1
3/15/2002,375,-2
3/22/2002,375,4
3/29/2002,380,-14
4/5/2002,434.5,-25.5
4/12/2002,411,-27
4/19/2002,425,-20
4/26/2002,405,-16
5/3/2002,407,-11
5/10/2002,405,-6
5/17/2002,410,-8
5/24/2002,410,-6
5/31/2002,405,-5
6/7/2002,394,11
6/14/2002,386,-4
6/21/2002,390,-3
6/28/2002,385,-3
7/5/2002,387,5
7/12/2002,395,-8
7/19/2002,385,6
7/26/2002,373.5,11.5
8/2/2002,385,-2
8/9/2002,380,4
8/16/2002,385,-3
8/23/2002,385,-4
8/30/2002,395,-8
9/6/2002,400,-3
9/13/2002,410,-16
9/20/2002,420,-4
9/27/2002,410,4
10/4/2002,410,-7
10/11/2002,398.5,14.5
10/18/2002,405,-6
10/25/2002,400,11
11/1/2002,400,-10
11/8/2002,395.5,5.5
11/15/2002,395,7
11/22/2002,385,9
11/29/2002,370,6
12/6/2002,380,25
12/13/2002,400,-41
12/20/2002,405,-28
12/27/2002,380,2
1/3/2003,394,-9
1/10/2003,395,6
1/17/2003,380,20
1/24/2003,385,4
1/31/2003,390,-7
2/7/2003,390,-1
2/14/2003,385,8
2/21/2003,390,-12
2/28/2003,404,-13
3/7/2003,417,-13
3/14/2003,415,-5
3/21/2003,420,-1
3/28/2003,410,8
4/4/2003,425,-20
4/11/2003,410,5
4/18/2003,425,-17
4/25/2003,430,-25
5/2/2003,440,-8
5/9/2003,426.5,1.5
5/16/2003,418,1
5/23/2003,420,-8
5/30/2003,420,-4
6/6/2003,425,-17
6/13/2003,425,-5
6/20/2003,415,-6
6/27/2003,410,6
7/4/2003,420,-10
7/11/2003,425,-14
7/18/2003,415,3
7/25/2003,400,14
8/1/2003,395,7
8/8/2003,393,3
8/15/2003,395,-3
8/22/2003,390,4
8/29/2003,393,-1
9/5/2003,400,-13
9/12/2003,410,-12
9/19/2003,400,1
9/26/2003,395,14
10/3/2003,395,-4
10/10/2003,385,3
10/17/2003,385,1
10/24/2003,385,-1
10/31/2003,380,-6
11/7/2003,365,17
11/14/2003,365,-1
11/21/2003,359,4
11/28/2003,354,3
12/5/2003,358,-7
12/12/2003,365,-13
12/19/2003,355,2
12/26/2003,350,-3
1/2/2004,345,6
1/9/2004,350,-3
1/16/2004,345,2
1/23/2004,340,-1
1/30/2004,340,-2
2/6/2004,345,-11
2/13/2004,355,-8
2/20/2004,345,1
2/27/2004,345,-5
3/5/2004,343,-2
3/12/2004,345,4
3/19/2004,340,4
3/26/2004,340,1
4/2/2004,340,-2
4/9/2004,335,7
4/16/2004,340,-20
4/23/2004,343,-10
4/30/2004,335,-3
5/7/2004,325,10
5/14/2004,328,-3
5/21/2004,335,-10
5/28/2004,335,-9
6/4/2004,335,-4
6/11/2004,340,-12
6/18/2004,340,4
6/25/2004,342,-7
7/2/2004,341,-10
7/9/2004,345,35
7/16/2004,345,-4
7/23/2004,340,1
7/30/2004,340,-5
8/6/2004,340,4
8/13/2004,335,2
8/20/2004,335,4
8/27/2004,340,-3
9/3/2004,345,-17
9/10/2004,340,21
9/17/2004,335,2
9/24/2004,343,-7
10/1/2004,355,-14
10/8/2004,340,5
10/15/2004,345,-7
10/22/2004,335,6
10/29/2004,340,-10
11/5/2004,337,5
11/12/2004,330,-3
11/19/2004,335,1
11/26/2004,330,7
12/3/2004,335,-14
12/10/2004,342,-15
12/17/2004,335,18
12/24/2004,335,2
12/31/2004,330,4
1/7/2005,340,-24
1/14/2005,345,-22
1/21/2005,332,13
1/28/2005,330,5
2/4/2005,325,9
2/11/2005,315,12
2/18/2005,309,7
2/25/2005,310,-2
3/4/2005,310,0
3/11/2005,315,-12
3/18/2005,315,-3
3/25/2005,320,-4
4/1/2005,330,-20
4/8/2005,330,-4
4/15/2005,329,-1
4/22/2005,320,24
4/29/2005,323,3
5/6/2005,325,-8
5/13/2005,330,-10
5/20/2005,325,4
5/27/2005,325,2
6/3/2005,333,-17
6/10/2005,330,0
6/17/2005,330,-3
6/24/2005,325,11
7/1/2005,320,10
7/8/2005,322,3
7/15/2005,325,-11
7/22/2005,318,15
7/29/2005,315,5
8/5/2005,315,3
8/12/2005,310,2
8/19/2005,315,-1
8/26/2005,315,0
9/2/2005,315,-5
9/9/2005,350,31
9/16/2005,450,52
9/23/2005,418,-14
9/30/2005,350,-6
10/7/2005,360,-30
10/14/2005,365,-24
10/21/2005,340,-15
10/28/2005,330,2
11/4/2005,320,-3
