#Field:candidate	Id	NumTweets	NumDistinctTweets	NumDistinctUsers	PositiveRatio	NonNegativeRatio	NormalizedNumTweets	NormalizedNumDistinctTweets	NormalizedNumDistinctUsers
i-best rap song	w2	35679	23496	21881	0.310294571036184	0.700916505507441	0.335609673505094	0.373124136507281	0.367130872483221
iggy azalea-best new artist	w3	769462	290858	193666	0.237459419698439	0.806956029017677	0.144686626572358	0.0761118673677611	0.279069298284799
bound 2-best rap song	w1	1189	976	955	0.189234650967199	0.623212783851976	0.245610411072093	0.2533748701973	0.252980132450331
iggy azalea-best new artist	w5	1517844	1026398	234014	0.213440906970677	0.81809131900248	0.137630131873736	0.106719815955787	0.322924917548677
iggy azalea-best new artist	w4	836435	328276	212703	0.208356895634449	0.831721532456198	0.0968457891443701	0.0460901970931709	0.282234972228046
iggy azalea-best new artist	w2	656378	242803	176162	0.252087973698083	0.775658233517881	0.210125615407936	0.147552888670655	0.275088501724749
in the lonely hour-album of the year	w3	11943	6757	5628	0.257724189902035	0.836891903206899	0.161433340992958	0.325215382393993	0.314466111638822
say something-best pop duo/group performance	w1	10152	8645	8302	0.962962962962963	0.989755713159968	0.238500211436358	0.24531085951023	0.251271186440678
in the lonely hour-album of the year	w5	27161	6882	5948	0.0993704208239756	0.916976547255256	0.325530945874682	0.350728773825298	0.346397996622212
in the lonely hour-album of the year	w4	16093	6745	5749	0.173740135462624	0.882122662026968	0.184170471841705	0.31986531986532	0.313433649547487
in the lonely hour-album of the year	w2	9485	6733	5365	0.317870321560358	0.838270954138113	0.17183904922369	0.330308084772371	0.30966810966811
in the lonely hour-best pop vocal album	w3	11943	6757	5628	0.255463451394122	0.833877585196349	0.161433340992958	0.325215382393993	0.314466111638822
brandy clark-best new artist	w1	1938	1450	1265	0.390608875128999	0.946852425180599	0.326867937257548	0.357406950948977	0.338144881047848
in the lonely hour-best pop vocal album	w5	27161	6882	5948	0.0995545083023453	0.917086999742277	0.325530945874682	0.350728773825298	0.346397996622212
in the lonely hour-best pop vocal album	w4	16093	6745	5749	0.171689554464674	0.881501273845771	0.184170471841705	0.31986531986532	0.313433649547487
in the lonely hour-best pop vocal album	w2	9485	6733	5365	0.314074855034265	0.834686346863469	0.17183904922369	0.330308084772371	0.30966810966811
lazaretto-best rock song	w3	2489	2170	2101	0.273603856970671	0.925672961028525	0.294277606999291	0.300970873786408	0.299117312072893
shake it off-best pop solo performance	w1	121805	40629	38339	0.359082139485243	0.931767989819794	0.303177759911987	0.292036543202777	0.293900298200829
lazaretto-best rock song	w5	2814	2411	2349	0.27043354655295	0.925373134328358	0.297494449730416	0.349927431059507	0.350126695483679
lazaretto-best rock song	w4	2564	2264	2201	0.274960998439938	0.927067082683307	0.273260151337525	0.306401407497632	0.305736907903876
