#Field:candidate	MonthId	NumTweets_Month1	NumDistinctTweets_Month1	NumDistinctUsers_Month1	NumPopularTweets_Month1	NumVerifiedTweets_Month1	NumTweets_Month2	NumDistinctTweets_Month2	NumDistinctUsers_Month2	NumPopularTweets_Month2	NumVerifiedTweets_Month2	NumTweets_Week1	NumDistinctTweets_Week1	NumDistinctUsers_Week1	NumPopularTweets_Week1	NumVerifiedTweets_Week1	NumTweets_Week2	NumDistinctTweets_Week2	NumDistinctUsers_Week2	NumPopularTweets_Week2	NumVerifiedTweets_Week2
job posting	201111	162	30	25	18	162	326	31	25	12	326	15	5	4	0	15	9	3	3	0	9
we are hiring	201111	520	46	46	45	520	2271	60	60	132	2271	49	15	15	0	49	28	5	5	4	28
all	201112	2078	741	687	86	2078	5591	630	592	457	5591	467	173	161	19	467	734	264	241	19	734
all old	201112	694	183	176	12	694	1130	117	116	83	1130	151	40	40	3	151	287	73	72	3	287
hashtags	201112	1524	615	569	74	1524	4561	540	508	382	4561	356	149	137	16	356	491	211	189	16	491
job opening	201112	291	69	67	9	291	599	32	32	24	599	62	14	14	3	62	136	33	32	3	136
job opportunity	201112	210	57	56	0	210	103	23	23	6	103	47	13	13	0	47	88	22	22	0	88
job posting	201112	83	24	21	0	83	129	22	21	18	129	12	4	4	0	12	24	5	5	0	24
we are hiring	201112	110	33	33	3	110	299	41	41	35	299	30	9	9	0	30	39	13	13	0	39
all	201201	9399	1317	1210	541	9399	2078	737	683	86	2078	7138	556	507	480	7138	1183	344	314	51	1183
all old	201201	3764	335	317	127	3764	697	183	176	12	697	2749	117	112	110	2749	518	80	74	17	518
hashtags	201201	6031	1074	985	442	6031	1525	613	567	74	1525	4537	457	414	390	4537	761	291	267	42	761
job opening	201201	504	95	94	20	504	293	69	67	9	293	241	30	30	20	241	107	26	26	4	107
job opportunity	201201	767	131	126	26	767	211	57	56	0	211	183	27	27	16	183	339	31	29	10	339
job posting	201201	139	38	27	15	139	83	24	21	0	83	84	21	16	15	84	27	8	4	3	27
we are hiring	201201	2354	74	73	66	2354	110	33	33	3	110	2241	42	42	59	2241	45	15	15	0	45
all	201202	16968	2060	1886	2002	16968	6467	1172	1086	366	6467	4398	559	506	564	4398	2893	438	417	410	2893
all old	201202	5135	439	425	577	5135	3362	310	292	94	3362	1834	118	115	163	1834	1201	101	99	165	1201
hashtags	201202	12491	1743	1580	1538	12491	3489	951	883	300	3489	2751	482	431	437	2751	1912	373	354	293	1912
job opening	201202	1479	159	158	201	1479	369	87	86	8	369	336	48	48	65	336	334	34	34	37	334
job opportunity	201202	590	97	94	69	590	750	126	121	26	750	128	22	21	15	128	176	23	23	32	176
job posting	201202	275	44	38	37	275	127	36	25	12	127	72	12	11	6	72	104	11	10	16	104
we are hiring	201202	2810	150	147	275	2810	2116	63	62	48	2116	1302	41	40	77	1302	587	33	33	80	587
all	201203	20606	2241	1998	1940	20606	17684	2061	1883	2033	17684	4002	483	434	390	4002	4909	546	483	424	4909
all old	201203	8356	420	407	631	8356	5320	439	424	602	5320	1764	89	86	131	1764	1880	96	95	133	1880
hashtags	201203	12697	1918	1691	1368	12697	13018	1744	1578	1544	13018	2329	416	371	278	2329	3113	467	405	299	3113
job opening	201203	1892	172	167	230	1892	1512	160	159	223	1512	361	43	41	43	361	710	32	31	33	710
job opportunity	201203	2199	79	76	123	2199	580	95	92	66	580	1061	23	22	48	1061	394	14	14	24	394
job posting	201203	283	43	39	52	283	284	46	39	40	284	18	4	4	3	18	63	11	11	6	63
we are hiring	201203	4002	137	136	230	4002	2963	150	147	278	2963	328	21	21	37	328	713	41	41	70	713
all	201204	16003	2231	1984	1906	16003	20606	2241	1998	1940	20606	4450	709	632	607	4450	5755	636	567	626	5755
all old	201204	7183	448	413	623	7183	8356	420	407	631	8356	1915	133	127	187	1915	2502	133	120	223	2502
hashtags	201204	9436	1919	1697	1386	9436	12697	1918	1691	1368	12697	2760	613	543	456	2760	3509	557	493	448	3509
job opening	201204	2383	156	152	237	2383	1892	172	167	230	1892	425	45	43	42	425	845	43	43	102	845
job opportunity	201204	2269	126	114	123	2269	2199	79	76	123	2199	576	42	42	65	576	342	44	36	21	342
job posting	201204	889	57	44	79	889	283	43	39	52	283	622	15	13	21	622	668	14	12	40	668
we are hiring	201204	2253	127	122	204	2253	4002	137	136	230	4002	310	42	41	64	310	661	36	34	65	661
all	201205	24286	2591	2336	2423	24286	15738	2318	2061	1989	15738	5060	677	623	690	5060	5347	675	617	619	5347
all old	201205	12291	488	465	752	12291	6618	465	429	647	6618	1781	135	131	224	1781	1836	106	100	146	1836
hashtags	201205	12585	2199	1969	1778	12585	9752	1992	1761	1449	9752	3491	567	516	519	3491	3585	587	535	481	3585
job opening	201205	5007	132	129	189	5007	2378	155	151	237	2378	299	36	35	40	299	320	27	27	25	320
job opportunity	201205	3565	131	128	220	3565	1486	135	123	132	1486	505	42	41	78	505	834	26	26	51	834
job posting	201205	672	75	60	66	672	892	58	44	79	892	100	19	17	15	100	156	20	15	24	156
we are hiring	201205	3083	171	166	281	3083	2473	135	130	219	2473	877	46	45	91	877	562	36	35	50	562
all	201206	15187	2326	2084	1784	15187	24286	2591	2336	2423	24286	4385	602	528	502	4385	2571	557	509	340	2571
all old	201206	5268	449	416	510	5268	12291	488	465	752	12291	2376	138	125	183	2376	587	111	104	72	587
hashtags	201206	10716	1979	1767	1380	10716	12585	2199	1969	1778	12585	2173	494	432	343	2173	2101	471	429	291	2101
job opening	201206	2439	147	143	164	2439	5007	132	129	189	5007	1901	57	55	108	1901	158	35	34	10	158
job opportunity	201206	951	107	102	158	951	3565	131	128	220	3565	151	24	21	34	151	181	24	23	27	181
job posting	201206	335	66	44	43	335	672	75	60	66	672	62	14	8	10	62	78	17	13	15	78
we are hiring	201206	1574	145	140	154	1574	3083	171	166	281	3083	277	46	43	36	277	170	38	36	20	170
all	201207	13286	2326	2058	1566	13286	14275	2228	1996	1680	14275	2661	609	549	372	2661	4188	619	561	474	4188
all old	201207	5653	522	486	511	5653	4875	425	393	468	4875	1049	150	141	132	1049	2259	148	137	182	2259
hashtags	201207	8479	1930	1700	1154	8479	10138	1897	1695	1307	10138	1807	497	446	276	1807	2317	511	464	323	2317
job opening	201207	1796	155	147	122	1796	2362	139	136	151	2362	263	44	42	28	263	1191	38	35	63	1191
job opportunity	201207	1170	119	113	110	1170	863	96	92	145	863	124	28	28	10	124	467	42	40	50	467
job posting	201207	1077	56	50	79	1077	329	64	42	43	329	260	21	16	31	260	61	9	8	9	61
we are hiring	201207	1630	199	183	204	1630	1352	140	135	138	1352	402	59	57	63	402	540	61	55	60	540
all	201208	24734	3151	2702	2705	24734	13860	2431	2149	1637	13860	8853	839	737	816	8853	3966	818	708	699	3966
all old	201208	10498	764	681	927	10498	5888	551	515	540	5888	3181	219	206	314	3181	1524	200	179	233	1524
hashtags	201208	15526	2539	2169	1949	15526	8850	2012	1770	1204	8850	6142	664	573	550	6142	2737	657	568	522	2737
job opening	201208	3337	179	165	176	3337	1829	161	153	129	1829	633	42	38	55	633	195	36	34	32	195
job opportunity	201208	1251	125	118	160	1251	1303	126	120	122	1303	350	36	35	54	350	228	34	34	35	228
job posting	201208	1082	127	96	174	1082	1098	59	53	82	1098	228	27	21	47	228	231	28	22	38	231
we are hiring	201208	4916	344	314	425	4916	1678	212	196	211	1678	2054	119	117	166	2054	874	105	92	128	874
all	201209	26433	3487	2857	3082	26433	24734	3151	2702	2705	24734	5915	1183	831	806	5915	5616	774	683	759	5616
all old	201209	12697	784	726	1118	12697	10498	764	681	927	10498	1924	227	209	289	1924	2536	188	177	297	2536
hashtags	201209	17158	2832	2261	2129	17158	15526	2539	2169	1949	15526	4221	979	645	549	4221	3298	611	532	494	3298
job opening	201209	4445	192	184	196	4445	3337	179	165	176	3337	209	55	54	30	209	998	53	52	68	998
job opportunity	201209	1642	158	155	329	1642	1251	125	118	160	1251	470	41	40	87	470	373	34	34	71	373
job posting	201209	1106	102	88	153	1106	1082	127	96	174	1082	264	29	24	50	264	403	20	19	47	403
we are hiring	201209	5801	347	312	463	5801	4916	344	314	425	4916	985	105	93	122	985	823	87	78	122	823
all	201210	30739	3778	3361	3733	30739	26718	3519	2890	3118	26718	6974	965	862	820	6974	12500	1032	909	1135	12500
all old	201210	16423	1001	897	1598	16423	12706	795	735	1138	12706	3703	265	228	327	3703	8521	292	261	557	8521
