#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
job opening	201111	-3951.91257652707	-0.106791130533618	37006	194283.635941428	6985	650	29371	0	31700	7269	496	701
job opening	201112	-1101.38664942531	-0.0133910447600587	82248	421610.302507676	19263	2602	60383	0	68767	14274	963	379
job opening	201201	-109325.019709513	-0.447547117643621	244276	621067.422761605	30895	3222	210159	0	216353	25206	3237	816
job opening	201202	2084.00559462286	0.00861664941669432	241858	1173346.14398685	40915	4503	196440	0	96027	22978	6400	2070
job opening	201203	-3887.33222740809	-0.00212380630236772	1830361	8304817.12829047	37623	6232	1786506	0	172671	34439	7112	2097
job opening	201204	10423.6901544631	0.0197203989497461	528574	2110295.328684	142933	17941	367700	0	156693	24520	5939	2612
job opening	201205	36324.4896608466	0.115346965564824	314915	1399782.45313414	104716	17623	192576	0	201706	25088	6038	5580
job opening	201206	27826.7390464007	0.0926162549971399	300452	1444819.00018937	59265	5385	235802	0	143450	28588	6525	3165
job opening	201207	32131.3366147609	0.114314662174773	281078	1299235.44921862	87079	32620	161379	0	155118	28566	5769	2145
job opening	201208	15547.5386094085	0.0574942537669635	270419	1198480.85873305	89442	2541	178436	0	128341	18409	7068	4136
job opening	201209	35869.6427339976	0.0153007642072008	2344304	5024467.10305946	113214	4732	2226358	0	169258	18767	9156	4861
job opening	201210	24761.2449058559	0.0156933467014927	1577818	5804311.90075104	75837	3347	1498634	0	173288	22287	11645	9487
job opening	201211	16503.1339339209	0.0590283065094818	279580	1331714.05713335	59609	4165	215806	0	143675	21871	7892	2379
job opening	201212	18187.7539889106	0.105967011518041	171636	NaN	41227	8169	122240	0	129349	18794	3315	2926
job opening	201301	22684.5263642321	0.132943371822755	170633	NaN	49316	2716	118601	0	155689	23676	2449	4037
job opening	201302	28030.1580937596	0.166295819156598	168556	NaN	56936	3090	108530	0	148167	32241	3247	9126
job opening	201303	17154.2225041687	0.118234042361953	145087	NaN	40788	2951	101348	0	130069	22632	3212	3004
job opening	201304	19542.1729594846	0.118825575422043	164461	NaN	45930	2592	115939	0	148192	24235	3083	4139
job opening	201305	13262.4324712909	0.0843489119414559	157233	NaN	42523	4064	110646	0	140575	27197	2970	3782
job opening	201306	4521.55300758517	0.0320948389604359	140881	NaN	34869	3808	102204	0	122468	26417	3340	5548
job opening	201307	7365.35930765055	0.0510501279320373	144277	NaN	38475	4120	101682	0	124052	26043	4301	5695
job opening	201308	5437.97167501428	0.0339326066406312	160258	885283.701875539	40121	2677	117460	0	132611	25793	8376	9085
job opening	201309	16505.7784842893	0.0945851942001714	174507	1071660.37071416	49820	2888	121799	0	142219	24786	10101	10293
job opening	201310	19739.36467153	0.117212953644941	168406	NaN	49094	3310	116002	0	137849	17320	7764	8218
job opening	201311	13731.6846398295	0.0831593316568022	165125	1005820.73586066	46163	3491	115471	0	140235	22061	5704	8049
job opening	201312	16912.121352739	0.0950252639569544	177975	1122024.0733792	48880	5167	123928	0	145323	22776	5593	11405
job opening	201401	11325.4386251249	0.0604426344236154	187375	NaN	48054	5960	133361	0	145412	27961	7935	19397
job opening	201402	3178.86911957216	0.0224064418146663	141873	NaN	36520	2901	102452	0	112200	22833	7062	10199
job opening	201403	26343.6004639351	0.124060959876121	212344	NaN	61605	4262	146477	0	174993	25355	8276	12985
job opening	201404	41731.1081379695	0.172123952921738	242448	1642058.48104997	74171	5628	162649	0	202019	25163	8393	16365
