"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"5093",5093,"IJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",49.1873405673773,36.5974524002109,62.3011296854407,36.7064672613251,5,6,6,7,-6.48521891992495,142.45766173519,4.75650791653911,4.17372781103501,9.12598530390006,3.55538563805698,1,1,0,0,41.7795167449034,51.3277862012295
"5094",5094,"IJC+NumTweets_Week1_allold_Absolute+NumPopularTweets_Week1_allold_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",48.387688045758,40.3080727818584,61.9169149916779,41.2134915420654,5,5,6,7,-39.5378917968265,120.026751131296,3.57317965829036,6.74035133376966,7.82383636610684,6.95872007889864,0,1,0,0,24.6792028388054,89.5276022561344
"5096",5096,"IJC+NumTweets_Week1_posting_Absolute+NumPopularTweets_Week1_posting_Absolute",47.9373513994103,42.4987589970252,59.7577227641966,43.1302433974752,6,5,6,7,9.87601703976159,122.710541328014,4.01289052968419,4.87127352507938,5.05260026368984,5.50134221930717,1,1,0,0,23.7128936624802,69.6707938654069
"5105",5105,"IJC+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumTweets_Week1_hiring_Absolute+NumPopularTweets_Week1_hiring_Absolute",48.058001562773,33.3954519657313,63.3254409601199,34.2135344353048,5,5,6,7.5,-61.2268056793625,64.852831218372,9.1313340569389,5.22879091926247,12.3668298702285,4.86931176852028,0,1,1,1,60.6596980308016,111.809716485004
"5117",5117,"IJC+NumTweets_Week1_posting_AbsoluteDelta+NumPopularTweets_Week1_posting_AbsoluteDelta",48.655567678585,39.8700734572588,60.2588132887402,42.9171411556331,5,5,6,7,-22.3777694588448,85.8072940407718,3.41536299313474,10.0944726060998,5.92865611193498,9.39721975454802,1,0,1,1,33.5681200818288,37.978173334052
"5155",5155,"IJC+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",45.5937914630929,39.5931182809826,58.5058071203073,40.4813765778732,5,6,6,8,-38.5832112155658,147.686252925696,2.5970964593179,8.95016617652975,4.32739580304552,7.87407361530557,0,0,1,1,37.0844669607371,67.3444650518418
"5159",5159,"IJC+NumTweets_Month1_posting_Absolute+NumPopularTweets_Month1_posting_Absolute+NumTweets_Week1_posting_Absolute+NumPopularTweets_Week1_posting_Absolute",47.8041394273618,36.8261500953509,60.9091538102545,37.9802444788371,5,5,6,7,-7.05292488634358,164.685960001883,3.00393920309777,6.23655734101429,3.39516295334462,6.67775644145627,0,1,1,0,46.0284234881839,30.70027523225
"5207",5207,"IJC+NumTweets_Week2_posting_Absolute+NumPopularTweets_Week2_posting_Absolute",48.1847236096935,45.9504183987136,60.6700968432715,47.3603614616257,5.5,5,6,7,-12.9456566073035,138.725359037313,4.18374744105731,7.74830426103453,2.7013964230029,8.49275735152467,1,1,1,0,29.8319941171828,40.553497011227
"5218",5218,"IJC+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.4398634493135,39.4556199765233,58.6734419493816,40.6586143801392,5,6,6,7.5,-27.3144178575165,179.074099851029,3.36019075431938,8.35605792660562,5.62134194923303,7.54616583515843,1,0,0,1,23.3018302522483,77.3017279450843
"5220",5220,"IJC+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumPopularTweets_Week2_allold_AbsoluteDelta",47.477013223406,40.8495359807252,58.1007455717469,40.9027320211065,5,5,5.5,7,-1.93385462985106,166.345307346577,8.81615837617416,10.7683504917141,4.55671241401486,11.3595605836667,0,0,1,0,49.0491478445911,77.7619478993301
"5224",5224,"IJC+NumTweets_Week2_opening_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta",48.3812936439855,44.599863118968,58.0505746692073,45.2963255953393,5.5,5,6,6,0.348235798394661,92.9513048636218,3.97119863479548,3.75118356800158,6.23234250373464,2.9459261803211,1,0,1,1,16.1219868019347,50.9887892242115
"5228",5228,"IJC+NumTweets_Week2_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",43.2336558640355,34.4073480335789,55.1549452692751,36.1835100763646,5,6,6,7,-11.3855800759792,170.947532273163,4.93233395468496,4.00866826863711,5.53312352749406,6.24288966779866,1,1,0,0,44.5328906406967,54.1856847641666
"5229",5229,"IJC+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_posting_AbsoluteDelta+NumPopularTweets_Week2_posting_AbsoluteDelta",45.6916466219912,37.5976535553755,58.1246636981577,38.0076402632475,5,6,6,7,6.40797100791895,122.419461887422,5.95304751657959,3.34793906295083,8.9595793382345,3.2765494459852,0,0,1,0,32.9971721192848,34.8448864775672
"5239",5239,"IJC+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",47.8790148025753,38.8406604450644,59.1622419703403,41.0078864173075,5,6,5.5,7,-59.4149217080829,99.8136507125619,7.18706573913413,4.01639936022439,6.67469178473834,4.49642659164721,0,1,1,1,35.4886626680439,39.0236641276188
