,Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2
71,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.65466718,64.09158443,79.69561242,64.15074696,4,2,6,7,-210.8560062,-393.6560062
72,NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.25628812,64.10901786,79.21582242,64.12827637,4,2,6,7,-206.0754574,-388.8754574
73,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.54384759,64.11815906,79.65031646,64.15382605,4,2,6,7,-209.526171,-392.326171
74,NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.43280792,64.25967573,79.34956243,64.27551932,4,2,6,7,-208.1936951,-390.9936951
75,NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.6845416,64.30615062,79.77570203,64.32420125,4,2,6,7,-211.2144992,-394.0144992
76,NumTweets_Week1_all_Absolute+NumTweets_Week1_all_AbsoluteDelta,69.58713271,61.40381094,80.09138585,61.42324536,4,2,6,7,-210.0455925,-392.8455925
77,NumTweets_Week1_allold_Absolute+NumTweets_Week1_allold_AbsoluteDelta,69.38283119,61.15631155,79.71245278,61.22180767,4,2,6,7,-207.5939742,-390.3939742
78,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta,69.53248447,61.26520201,79.77889234,61.34977972,4,2,6,7,-209.3898137,-392.1898137
79,NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opportunity_AbsoluteDelta,67.98212585,58.12285631,78.14589826,58.14592713,4,2,6,7,-190.7855102,-373.5855102
80,NumTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,67.75967495,58.37807232,77.55065566,58.40150223,4,2,6,7,-188.1160994,-370.9160994
81,NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,68.32764541,61.50342697,77.48464104,61.63051716,4,2,6,7,-194.9317449,-377.7317449
82,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,68.56921397,61.51076317,77.75372016,61.65558338,4,2,6,7,-197.8305676,-380.6305676
83,NumTweets_Week1_opening_Absolute+NumTweets_Week1_opening_AbsoluteDelta,68.82388533,66.20850423,77.91423354,66.21437204,4,2,6,7,-200.886624,-383.686624
84,NumTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.26624108,63.183543,78.58825115,63.19258676,4,2,6,7,-206.1948929,-388.9948929
85,NumTweets_Week1_allold_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,66.36570889,59.52838139,74.71289622,59.53740412,4,2,6,7,-171.3885066,-354.1885066
86,NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,67.10235141,58.17597241,75.75831213,58.19506754,4,2,6,7,-180.2282169,-363.0282169
