"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"332","OneMonthBefore_UnRevised+DeltaIJC+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.56177389,33.04927504,59.54273742,33.05502554,8,5,10,7,66.25871336,-116.5412866,268.2736134
"335","OneMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",47.2612968,29.27486817,60.71471319,29.27636169,6,5,9,7,57.86443845,-124.9355616,181.2503353
"337","OneMonthBefore_UnRevised+DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",47.01287935,28.41690457,60.4701217,28.49357699,8,5,10,7,60.8454478,-121.9545522,251.6623263
"338","OneMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute",45.02384014,32.98316945,59.9352639,33.06258243,7,6,9,8,84.71391833,-98.08608167,244.9117635
"345","OneMonthBefore_UnRevised+DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",44.63728757,29.63066695,61.1344436,30.24113992,8,5,9,7,89.35254911,-93.44745089,281.5616806
"349","OneMonthBefore_Revised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",46.68507373,33.02000486,62.10591775,33.96274714,7,5,9,7,64.77911528,-118.0208847,220.4107102
"350","OneMonthBefore_Revised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",46.09591644,24.1906855,61.19318216,25.20237064,7,4,9,6,71.84900277,-110.9509972,224.6554848
"351","OneMonthBefore_Revised+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute",47.04089872,31.15596731,61.1290254,31.38283387,7,5,9,7,60.50921531,-122.2907847,242.6377301
"352","OneMonthBefore_Revised+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",46.95832062,30.215278,61.9603605,30.51506488,7,6,9,7,61.50015257,-121.2998474,251.2902866
"353","OneMonthBefore_Revised+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",45.75716239,37.13854818,60.63068207,37.26406739,7,6,10,8,75.91405132,-106.8859487,256.3260981
"355","OneMonthBefore_Revised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute",44.92222528,32.52722506,60.67133297,34.17012005,9,4,10,7,85.93329658,-96.86670342,247.4941979
"357","OneMonthBefore_Revised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",48.65019732,43.67631321,62.64356838,43.67858008,7,5,9,7,41.1976321,-141.6023679,191.388749
