Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_all_Absolute,47.44415123,37.22573342,60.09110092,37.24817335,9,5,9,7,55.67018526,-127.1298147,238.8771677
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_Absolute,46.69580234,41.74079347,60.91698756,41.74266564,9,6,9,7,64.65037197,-118.149628,247.1693627
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.47489208,28.73805564,61.35624998,30.5110358,7,5,7,7,67.30129504,-115.498705,254.5145114
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,49.34974147,32.68983821,63.48058607,33.01008143,7,6,7,7,32.80310233,-149.9968977,242.4319455
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,45.50096119,24.71061952,62.78627302,25.51307737,7,5,7,7,78.98846577,-103.8115342,248.7554912
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,49.17164954,37.61368265,63.20057986,37.61397652,6,6,6,7,34.94020547,-147.8597945,272.6283518
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,54.71900618,47.30618012,70.80744584,47.9851563,8,6,8,7,-31.6280742,-214.4280742,255.6479061
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.60740105,31.31614759,61.49919261,32.4937992,7,5,7,6,65.71118736,-117.0888126,253.9918806
OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_allold_Absolute+NumVerifiedTweets_Week1_allold_Absolute,48.34839312,40.01649322,61.81847024,40.26788191,8,5,8,7,44.81928258,-137.9807174,264.9235811
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute,50.11739733,36.48853215,63.83384932,36.50046185,7,4,7,7,23.59123209,-159.2087679,257.2441742
