"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2"
"3053",3053,"Consensus1+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",48.1015589237177,31.6921291104434,65.1291925970877,32.8119000088232,9,7,9,8,47.7812929153878,-135.018707084612
"3314",3314,"IJC+NumTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta",43.6127450545886,29.5353602417035,57.1849966327091,31.1036266834853,9,6,9,7,101.647059344937,-81.1529406550628
"3320",3320,"IJC+NumTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta",46.5223800059161,34.9381733662504,57.9708137370837,36.2352827086047,9,6,9,7,66.7314399290067,-116.068560070993
"3337",3337,"IJC+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta",44.8079576358041,38.3742536621654,59.15862444147,43.1732653004929,9,6,9,7,87.3045083703507,-95.4954916296493
"3524",3524,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",44.1302672674587,34.6419976940043,57.8154065974577,35.0980014045992,8,5,10,7,95.436792790496,-87.3632072095041
"3526",3526,"IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",44.8746473061388,30.2138312365126,58.1236548720754,30.5448641138198,8,5,9,7,86.5042323263341,-96.295767673666
"3554",3554,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",44.1622595956814,33.9833820619669,58.0302853850116,34.7035034330144,8,6,10,8,95.0528848518231,-87.7471151481769
"3576",3576,"IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",46.6863788155185,44.4899297011492,55.2386387742659,44.6528652311286,8,5,10,8,64.7634542137784,-118.036545786222
"3591",3591,"IJC+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",45.6461272194243,39.5124380274247,56.5239274341697,39.9448403964512,8,4,9,6,77.2464733669089,-105.553526633091
"3604",3604,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",45.2660613107145,38.40166685537,58.8622715676337,38.9327645477461,7,5,9,7,81.807264271426,-100.992735728574
"3623",3623,"IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",44.8299911938588,35.5826084389263,58.8553964456324,37.4540244460674,7,4,9,7,87.0401056736945,-95.7598943263055
"3762",3762,"IJC+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",47.3781722226935,40.0338312635301,57.5942008239373,40.1176477663485,8,5,9,7,56.4619333276777,-126.338066672322
"3772",3772,"IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",45.490244694816,37.8578099100746,58.3650914597186,37.858956924677,8,5,10,7,79.1170636622077,-103.682936337792
"3774",3774,"IJC+NumTweets_Month1_allold_Absolute+NumPopularTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",48.4602896514727,34.3208142895314,60.9956210604846,34.3209682179575,8,4,9,7,43.4765241823278,-139.323475817672
"3791",3791,"IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",46.0539872159321,41.2787057617326,58.7273678650689,41.3245390720261,9,6,10,7,72.3521534088149,-110.447846591185
"3807",3807,"IJC+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",48.1315200973822,54.575308863297,57.900304247417,54.5774376803684,7,5,9,8,47.4217588314134,-135.378241168587
"3819",3819,"IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",48.5187840528675,50.9547569604689,60.5597603902628,51.2448272591508,7,4,9,6,42.7745913655906,-140.025408634409
