#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	201209	177860.9699	0.026896904	6612693	1235925	179089	5197679	0	1765434	165565	74133	6614
all	201210	163341.5849	0.035226318	4636919	2221201	170080	2245638	0	1884105	199571	84076	7024
all	201211	148444.2803	0.021435174	6925266	2764306	377703	3783257	0	1721047	200809	73059	7654
all	201212	137988.3296	0.090269162	1528632	507216	109784	911632	0	1284572	109486	26266	3086
all	201301	210730.29	0.132173997	1594340	572298	83406	938636	0	1524750	167617	20894	3938
all	201302	187216.0751	0.133178594	1405752	504407	77255	824090	0	1350458	169740	30149	7361
all	201303	172914.2306	0.125383484	1379083	486540	76914	815629	0	1322394	173788	34927	4818
all	201304	170348.0088	0.106603825	1597954	535589	68545	993820	0	1540840	140688	37722	6721
all	201305	178078.2441	0.110234861	1615444	544027	72701	998716	0	1558331	143394	37313	12904
all	201306	130751.3973	0.101502451	1288160	431496	60784	795880	0	1234339	132938	34444	11741
all	201307	112970.6105	0.086746461	1302308	427925	65333	809050	0	1225386	139587	47734	12300
all	201308	116403.7652	0.072871042	1597394	522836	81172	993386	0	1445368	147256	96129	14045
all	201309	95940.31015	0.062185999	1542796	494307	73342	975147	0	1375601	130432	109274	12350
all	201310	161746.2573	0.102902233	1571844	540259	79356	952229	0	1426655	90968	95234	13099
all	201311	179145.9834	0.115053336	1557069	548313	76121	932635	0	1439358	84036	75832	12343
all	201312	155695.5828	0.106595762	1460617	498577	65512	896528	0	1338954	93625	66119	10416
all	201401	178226.1892	0.116954453	1523894	536001	78708	909185	0	1365051	92191	84116	12054
all	201402	168093.7981	0.120549282	1394399	505856	75749	812794	0	1254903	82669	78594	13003
all	201403	191205.4234	0.109731775	1742480	607655	105034	1029791	0	1576006	87920	92247	13018
all	201404	218137.6448	0.11046857	1974658	697618	110115	1166925	0	1814245	91995	99732	12511
all	201405	224069.2525	0.108975838	2056137	729278	114259	1212600	0	1879723	91912	109979	13858
all	201406	214221.1818	0.08724844	2455301	833959	129953	1491389	0	2271155	136342	120408	13866
all	201407	301606.9743	0.098983433	3047045	1066768	168207	1812070	0	2827132	95060	132742	17707
all	201408	316486.8917	0.090445913	3499184	1182684	190987	2125513	0	3297231	92886	121386	16828
all	201409	386305.3383	0.10514322	3674087	1255751	224042	2194294	0	3462376	90630	111736	15897
all	201410	520321.9506	0.121177995	4293865	1538770	180636	2574459	0	4070698	85399	110609	18069
all old	201012	42.56374056	0.221686149	192	63	0	129	0	192	126	0	0
all old	201101	-4400.497469	-0.037940883	115983	13153	888	101942	0	113803	20094	1206	119
all old	201102	19667.24031	0.430468401	45688	18188	887	26613	0	43537	17694	1110	133
all old	201103	1693.17958	0.247794465	6833	2457	196	4180	0	6120	3454	253	115
all old	201104	6795.797079	0.218198654	31145	10509	675	19961	0	29738	13125	712	105
all old	201105	3882.581209	0.233665215	16616	5866	366	10384	0	15930	7818	310	50
all old	201106	3345.531398	0.181123458	18471	6278	402	11791	0	17112	8673	551	192
all old	201107	5864.513379	0.155404865	37737	11756	796	25185	0	35564	13956	827	193
all old	201108	5328.913171	0.131283121	40591	12473	1200	26918	0	38283	16116	1030	168
all old	201109	6543.781314	0.176734762	37026	12590	985	23451	0	34419	14484	884	540
all old	201110	3704.964251	0.150687935	24587	7878	725	15984	0	22687	10829	771	324
all old	201111	3784.952244	0.150190558	25201	8306	649	16246	0	23094	10687	781	291
all old	201112	-5655.281569	-0.070519129	80195	20458	1970	57767	0	77088	22676	1530	96
all old	201201	-83649.43479	-0.297629744	281052	46989	12290	221773	0	234452	44881	5329	414
all old	201202	11435.23614	0.051428066	222354	53245	12372	156737	0	123917	38506	8169	722
all old	201203	42599.06372	0.044287848	961868	109516	7256	845096	0	328471	51630	9351	623
all old	201204	60016.33826	0.166532566	360388	131370	18241	210777	0	145451	41794	9358	755
all old	201205	64287.02331	0.110717906	580638	321049	15297	244292	0	120066	37672	9602	662
all old	201206	52034.45895	0.252180689	206338	68531	4745	133062	0	98808	36776	7791	520
all old	201207	57212.46196	0.113442962	504328	347722	49405	107201	0	107816	40056	9318	714
all old	201208	27240.88295	0.145697324	186969	67289	6976	112704	0	89459	32387	11007	1431
all old	201209	56566.23665	0.071547133	790615	94601	4563	691451	0	111704	31275	11389	2291
all old	201210	55774.87048	0.090730532	614731	104857	4075	505799	0	117487	36771	13508	2180
all old	201211	48334.26964	0.113591117	425511	298769	4288	122454	0	108757	37824	12279	1173
all old	201212	44975.6764	0.358815082	125345	49623	6212	69510	0	97213	31429	4475	1018
all old	201301	70865.29142	0.500867876	141485	68472	3537	69476	0	132032	54771	3902	1422
all old	201302	60041.63334	0.422944565	141961	63877	10580	67504	0	124539	49886	4633	2290
all old	201303	61198.07207	0.458395357	133505	65483	6003	62019	0	122172	43314	4716	1141
all old	201304	59925.53275	0.444571218	134794	61120	4780	68894	0	125669	46882	4510	1369
all old	201305	63697.16112	0.488127035	130493	62697	4278	63518	0	122113	48534	4433	1391
all old	201306	47923.35006	0.406726388	117827	54506	4367	58954	0	108471	46925	4570	1532
all old	201307	44859.4683	0.36400974	123237	55994	4497	62746	0	109264	50108	6202	1803
all old	201308	37040.33579	0.300842545	123122	54558	4193	64371	0	101980	46990	9152	2844
all old	201309	39172.37331	0.302102119	129666	58099	4317	67250	0	105221	45086	11198	3771
all old	201310	37550.36254	0.348695886	107688	50849	3659	53180	0	85569	29257	9422	2284
all old	201311	40476.69612	0.357460622	113234	53254	3098	56882	0	97533	29969	7158	1705
all old	201312	45510.80822	0.385279945	118124	57258	3649	57217	0	102625	29675	6991	2064
