#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	20110323	0.4947332317723	0.0183234530286037	27	174.474231374196	10	0	17	0	10	9	10	0
all	20110324	-3.23438288557003	-0.0141239427317469	229	1326.74553960678	59	9	161	0	206	161	14	0
all	20110325	-0.644464526156999	-0.00947741950230881	68	444.317078944639	31	0	37	0	14	13	14	0
all	20110326	-0.282433628866758	-0.0256757844424325	11	77.0814953623126	2	2	7	0	5	5	5	0
all	20110327	2.36253100794636	0.0621718686301673	38	231.061833420499	8	0	30	0	11	10	11	0
all	20110328	-41.0070023555538	-0.0116002835517833	3535	20479.027715116	895	209	2431	0	3301	1254	92	41
all	20110329	-962.476453208894	-0.0455545462518409	21128	121300.780051971	4938	1062	15128	0	20446	5457	326	194
all	20110330	-946.432352886399	-0.0288916402981378	32758	184061.490857728	7859	1371	23528	0	32134	7273	320	186
all	20110331	-994.926485086343	-0.0306744715611636	32435	179273.039654558	7834	1281	23320	0	31962	6732	247	175
all	20110401	-1020.49691210375	-0.0343058766297023	29747	169084.306271445	7241	1167	21339	0	29236	6596	272	51
all	20110402	-495.462365981444	-0.0234905350835124	21092	119595.589094141	5229	676	15187	0	20920	4273	102	18
all	20110403	-682.762183482439	-0.0372260064054544	18341	106727.847711503	4416	846	13079	0	18084	4029	146	13
all	20110404	-768.672599003698	-0.043573074032294	17641	101702.703807587	4274	749	12618	0	17264	4865	226	67
all	20110405	-1057.25178853758	-0.0559836795624878	18885	108798.899249216	4526	806	13553	0	18472	4621	198	70
all	20110406	-1953.60896534159	-0.06465050517379	30218	174733.989077846	6966	1156	22096	0	29714	6922	267	157
all	20110407	-1501.44146619272	-0.0500097080968831	30023	168390.878172783	7124	1306	21593	0	29616	6533	277	60
all	20110408	-1015.67250182356	-0.0797732093797957	12732	73984.5669355419	2825	474	9433	0	12395	3458	123	190
all	20110409	-816.404395031414	-0.0729062685329	11198	64391.5029246413	2533	593	8072	0	11034	3152	103	5
all	20110410	-878.266655007927	-0.0532411890766202	16496	94457.7685833979	3933	1142	11421	0	16333	3845	114	11
all	20110411	-551.982376779533	-0.0267187364722171	20659	117348.075721845	5121	1207	14331	0	20147	4985	274	63
all	20110412	-966.876368231143	-0.0362302382520007	26687	152629.488970843	6397	1154	19136	0	26272	6271	259	56
all	20110413	-1333.97815282695	-0.0533100808387063	25023	149647.832198625	5864	1106	18053	0	23793	6507	264	637
all	20110414	-956.461729228441	-0.0546019140965029	17517	100810.78573219	4100	755	12662	0	17176	4934	187	54
all	20110415	-883.590879811394	-0.0331840192215193	26627	152762.642964398	6475	1183	18969	0	26439	5838	145	41
all	20110416	-679.431177192007	-0.0356264053899642	19071	111334.587561015	4612	894	13565	0	18984	3983	69	10
all	20110417	-994.346807692461	-0.0587988177927066	16911	98907.0936869041	3877	901	12133	0	16828	3702	66	8
all	20110418	-1206.70931019992	-0.0525112841688391	22980	132971.037146492	5393	921	16666	0	22849	5338	106	11
all	20110419	-1293.02451020853	-0.0587391318860916	22013	126323.16002595	5078	904	16031	0	21861	5436	124	17
all	20110420	-1033.00685643135	-0.0434730601982724	23762	136347.646796691	5622	890	17250	0	23602	5884	131	23
all	20110421	-824.335608845373	-0.0335259317083688	24588	142856.379349037	5871	860	17857	0	24396	5945	149	13
all	20110422	-975.593915478625	-0.046623365136374	20925	121319.523829566	4852	664	15409	0	20771	4979	121	45
all	20110423	-160.784792795552	-0.0116106869436418	13848	80050.6089463995	3562	474	9812	0	13753	3520	74	8
all	20110424	-62.1550847298849	-0.00670424816415542	9271	53686.204452955	2482	384	6405	0	9175	2796	62	5
all	20110425	-265.471309460977	-0.0137308011513901	19334	112002.397503127	4973	772	13589	0	19162	5043	133	37
all	20110426	-499.896990185652	-0.0250261321745007	19975	115714.989735174	5027	720	14228	0	19867	5224	82	33
all	20110427	-259.947296467035	-0.0175261122213481	14832	84569.5389417139	3802	477	10553	0	14729	4084	53	53
all	20110428	-489.32414904289	-0.0277080492096767	17660	102868.621380034	4486	646	12528	0	17559	4542	79	11
all	20110429	-692.735140395443	-0.0385946370491639	17949	102388.918377868	4525	588	12836	0	17871	4154	59	29
all	20110430	-225.93082828312	-0.0186196496030262	12134	70568.9974419014	3216	461	8457	0	12087	2905	24	4
all	20110501	-503.382442521054	-0.0443547839035205	11349	66208.5173771894	2769	386	8194	0	11322	2940	21	9
all	20110502	-488.812415821777	-0.0342066071253867	14290	82697.8649574424	3506	416	10368	0	14220	4059	55	13
all	20110503	-495.602502271542	-0.0320156655214175	15480	89088.7944581675	3809	504	11167	0	15423	4268	49	16
all	20110504	-473.488803787167	-0.0336906790797757	14054	80593.5427673318	3436	403	10215	0	13985	3936	55	21
all	20110505	-287.807140051501	-0.0194925255707078	14765	85896.572909674	3737	473	10555	0	14671	4046	72	13
all	20110506	-630.359374949778	-0.0341066645898592	18482	107104.140839299	4572	557	13353	0	18353	4757	93	31
all	20110507	-97.9004971593726	-0.0073909479963289	13246	78757.8197771668	3497	414	9335	0	13169	3165	54	9
all	20110508	-254.967966233537	-0.0163189942545787	15624	92131.2552347474	4110	491	11023	0	15546	3307	71	5
all	20110509	-507.89780946496	-0.0329760946282924	15402	88350.562432191	3743	520	11139	0	15313	4179	67	20
all	20110510	-919.989039555929	-0.0454652354611282	20235	117318.695218193	4758	691	14786	0	20060	5263	130	47
all	20110511	-1419.72342675497	-0.0658559897372192	21558	124544.46390813	4923	720	15915	0	21426	5299	103	35
all	20110512	-952.865993043263	-0.0850925158995592	11198	65097.0506459536	2491	429	8278	0	11126	3511	59	16
all	20110513	-1260.92154851506	-0.0665569569023519	18945	108344.4264168	4269	685	13991	0	18813	4659	89	36
all	20110514	-1175.75966336869	-0.079561487574008	14778	87863.9381364398	3253	498	11027	0	14695	3370	68	17
all	20110515	-1083.27028093793	-0.0799933747554225	13542	79705.1717199082	2988	441	10113	0	13449	3320	70	14
all	20110516	-1393.95385220159	-0.0664927424251853	20964	118068.992866849	4875	728	15361	0	20716	5531	148	20
all	20110517	-587.238893708439	-0.106287582571663	5525	31931.2917115473	1201	198	4126	0	5398	2198	65	5
all	20110518	-926.088980785685	-0.0611724011351929	15139	85353.8740411243	3365	571	11203	0	14903	4514	143	35
all	20110519	-217.531744755191	-0.0255348919773672	8519	48902.594345927	2153	357	6009	0	8264	3050	106	11
all	20110520	-289.012506204207	-0.0270509646391059	10684	61679.5892437964	2617	399	7668	0	10522	3561	107	13
all	20110521	116.947405854846	0.0246568428958139	4743	28278.0482081144	1279	223	3241	0	4685	1675	37	16
all	20110522	-115.534843125646	-0.0280969949235521	4112	23713.237172989	994	214	2904	0	4011	1635	57	5
all	20110523	-262.248580536471	-0.0185373987797039	14147	82316.9006344425	3431	551	10165	0	13883	4085	142	59
all	20110524	-14.5352904083297	-0.0010689285489285	13598	75601.5518096434	3451	453	9694	0	13430	4207	109	5
all	20110525	-403.415659972531	-0.0331592684508081	12166	69075.4600005129	2940	361	8865	0	11990	3916	109	23
all	20110526	-340.29589378589	-0.0409157020302862	8317	46620.6639281623	1976	269	6072	0	8139	2836	95	25
all	20110527	98.9781772603957	0.0134044118716679	7384	42230.5501960978	1970	216	5198	0	7287	2743	74	2
all	20110528	7.6480766808927	0.00473272071837419	1616	8881.7413932382	447	45	1124	0	1588	786	20	0
all	20110529	10.9212758976034	0.0063643798937083	1716	10077.0026769309	444	59	1213	0	1698	924	16	1
all	20110530	-91.745628829596	-0.0230632551105068	3978	22364.5523253304	933	155	2890	0	3862	1725	33	81
all	20110531	-220.96738912025	-0.034946605902301	6323	35802.8003670803	1529	337	4457	0	6175	2653	94	14
all	20110601	-173.238968148704	-0.0365251883088139	4743	27161.9993499377	1115	162	3466	0	4532	2048	94	16
all	20110602	26.2206868189789	0.00284543535745838	9215	53461.3789589524	2334	349	6532	0	8903	3290	126	44
all	20110603	-334.490991134384	-0.0343419908762201	9740	56195.9105603474	2368	422	6950	0	9285	3440	129	232
all	20110604	118.027385645784	0.0392639340139003	3006	17661.7389363549	827	105	2074	0	2934	1292	32	1
