Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
DeltaIJC+NumVerifiedTweets_Month1_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,46.25044909,28.18702868,69.56626481,29.10173434,8,6,9,9,58.99461092,-90.80538908,326.8533665
DeltaIJC+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Month1_allold_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,47.57719649,36.24221796,58.24357614,36.31106515,6,5,9,7,43.0736421,-106.7263579,174.1550805
DeltaIJC+NumTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumVerifiedTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute+NumVerifiedTweets_Week2_opening_Absolute,45.03239814,35.78962094,63.15534899,37.58135422,9,6,9,7,73.61122229,-76.18877771,230.5812539
DeltaIJC+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta,49.15255131,37.31106144,66.49178316,40.24450472,9,5,9,6,24.16938429,-125.6306157,250.4000029
DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute,45.27155586,32.14885803,57.46208206,32.16586798,8,5,9,7,70.74132972,-79.05867028,224.4321722
DeltaIJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute,46.17133579,28.24683166,58.21965018,28.36582194,9,5,9,7,59.94397054,-89.85602946,208.4650504
OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Month1_opening_Absolute,47.10501548,36.67255929,56.58554339,36.67268092,7,4,9,7,48.73981425,-101.0601857,174.3007058
OneMonthBefore_UnRevised+NumPopularTweets_Week1_allold_Absolute+NumPopularTweets_Week1_opening_Absolute,46.47336081,28.22573327,58.87921378,28.37547451,7,5,9,8,56.31967024,-93.48032976,162.1010831
OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute,45.17179432,30.81561834,56.83982723,31.49673534,7,5,9,8,71.93846814,-77.86153186,177.5510399
OneMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute,39.83774422,23.76100119,54.36694182,23.79622651,8,5,10,8,135.9470694,-13.85293063,193.1377823
