MonthId,DeltaNFP,NumTweets_all,NumPositive_all,NumNegative_all,NumNeutral_all,NumDistinctTweets_all,NumDistinctUsers_all,NumPopularTweets_all,NumVerifiedTweets_all,NumTweets_allold,NumPositive_allold,NumNegative_allold,NumNeutral_allold,NumDistinctTweets_allold,NumDistinctUsers_allold,NumPopularTweets_allold,NumVerifiedTweets_allold,NumTweets_opening,NumPositive_opening,NumNegative_opening,NumNeutral_opening,NumDistinctTweets_opening,NumDistinctUsers_opening,NumPopularTweets_opening,NumVerifiedTweets_opening,NumTweets_posting,NumPositive_posting,NumNegative_posting,NumNeutral_posting,NumDistinctTweets_posting,NumDistinctUsers_posting,NumPopularTweets_posting,NumVerifiedTweets_posting,NumTweets_opportunity,NumPositive_opportunity,NumNegative_opportunity,NumNeutral_opportunity,NumDistinctTweets_opportunity,NumDistinctUsers_opportunity,NumPopularTweets_opportunity,NumVerifiedTweets_opportunity,NumTweets_hiring,NumPositive_hiring,NumNegative_hiring,NumNeutral_hiring,NumDistinctTweets_hiring,NumDistinctUsers_hiring,NumPopularTweets_hiring,NumVerifiedTweets_hiring,NumTweets_hashtags,NumPositive_hashtags,NumNegative_hashtags,NumNeutral_hashtags,NumDistinctTweets_hashtags,NumDistinctUsers_hashtags,NumPopularTweets_hashtags,NumVerifiedTweets_hashtags
201306,195,55439,27358,2636,25445,17653,904,3905,55439,16150,9860,454,5836,1111,484,1555,16150,4092,779,273,3040,264,129,480,4092,5181,4575,138,468,102,54,153,5181,2035,1576,36,423,229,141,337,2035,4874,2950,7,1917,530,215,585,4874,40966,18622,2189,20155,16843,575,2561,40966
201307,162,49683,21366,4002,24315,12298,957,3898,49683,14993,7874,227,6892,1155,542,1577,14993,3013,1334,18,1661,263,127,327,3013,3022,1811,78,1133,114,62,174,3022,3387,2065,111,1211,281,179,470,3387,5741,2809,20,2912,517,248,617,5741,36824,15011,3783,18030,11421,580,2613,36824
201308,169,56515,20925,3777,31813,9324,1043,6409,56515,24085,10325,403,13357,1175,550,2763,24085,7356,1416,223,5717,288,145,675,7356,1169,231,63,875,90,50,204,1169,7326,4377,86,2863,308,166,1050,7326,8454,4357,31,4066,522,254,846,8454,36158,13081,3390,19687,8475,659,4156,36158
201309,148,56552,20799,2804,32949,9134,971,6223,56552,26201,10863,377,14961,1140,516,2603,26201,5526,1287,21,4218,247,118,575,5526,1393,429,37,927,127,70,267,1393,8438,3911,168,4359,273,152,753,8438,11331,5383,163,5785,531,250,1027,11331,32959,11492,2459,19008,8235,600,4041,32959
201310,204,56986,22344,3692,30950,9242,827,5992,56986,28490,12948,608,14934,1160,462,2845,28490,6051,1542,102,4407,240,102,587,6051,1572,273,26,1273,108,49,211,1572,7583,5779,215,1589,237,140,707,7583,13409,5479,265,7665,606,224,1356,13409,31801,10971,3107,17723,8401,477,3664,31801
201311,203,48063,21703,2397,23963,8456,806,5311,48063,23590,13518,255,9817,1133,455,2509,23590,4988,1056,180,3752,267,138,708,4988,842,245,0,597,86,42,136,842,4784,3225,54,1505,267,147,750,4784,13206,9162,21,4023,554,190,953,13206,27520,10055,2154,15311,7686,463,3231,27520
201312,74,43908,17294,2909,23705,7692,724,5845,43908,19644,8866,635,10143,1028,397,2785,19644,6759,1527,477,4755,261,115,711,6759,1102,476,12,614,104,41,225,1102,5366,3480,108,1778,250,127,920,5366,6433,3391,38,3004,454,152,933,6433,26450,9769,2282,14399,6941,422,3548,26450
201401,113,69284,29399,4590,35295,8619,986,7692,69284,36398,16279,1794,18325,1447,581,3857,36398,11930,2083,1272,8575,410,158,1174,11930,1335,461,12,862,99,48,191,1335,7040,4501,468,2071,355,178,1014,7040,16293,9434,42,6817,626,261,1494,16293,36916,15795,2808,18313,7523,554,4467,36916
201402,175,67560,31997,4364,31199,8597,981,7481,67560,34205,19879,829,13497,1349,601,3610,34205,7539,2062,13,5464,371,155,1098,7539,2107,683,105,1319,132,70,318,2107,12407,10150,669,1588,328,177,989,12407,12781,7314,42,5425,570,275,1283,12781,36876,14362,3539,18975,7536,510,4394,36876
201403,192,67853,27459,4479,35915,10116,1011,9529,67853,33907,15379,1700,16828,1527,634,3981,33907,8403,1893,684,5826,401,183,1075,8403,1258,365,42,851,117,48,264,1258,8590,5013,180,3397,319,178,1010,8590,15953,8232,794,6927,757,301,1671,15953,38182,14406,2931,20845,8975,512,6215,38182
201404,288,56987,22235,4162,30590,6390,1006,7177,56987,30913,12545,2202,16166,1375,587,3556,30913,9982,2861,1911,5210,369,160,856,9982,2242,521,153,1568,125,67,348,2242,7924,4824,93,3007,297,158,984,7924,10909,4444,45,6420,624,267,1400,10909,29612,11763,2017,15832,5400,563,4374,29612
201405,217,64467,28334,4410,31723,7476,1067,8557,64467,34588,17148,2023,15417,1635,619,4180,34588,7463,1767,973,4723,368,146,1053,7463,3997,1123,711,2163,148,85,378,3997,8635,6043,279,2313,430,184,1257,8635,15218,8899,60,6259,743,267,1547,15218,36238,15035,2511,18692,6427,577,5563,36238
201406,288,71485,29369,5234,36882,7945,1364,8545,71485,38596,17844,1008,19744,1988,771,4197,38596,12971,3444,594,8933,405,215,942,12971,2406,633,42,1731,122,72,293,2406,9115,6499,117,2499,680,237,1500,9115,14280,7393,255,6632,814,356,1489,14280,38586,14958,4442,19186,6510,805,5576,38586
201407,209,79470,36566,4246,38658,8234,1146,9240,79470,45652,25160,788,19704,1731,679,4647,45652,13255,5139,237,7879,422,200,1288,13255,2338,339,348,1651,133,60,290,2338,7726,4918,58,2750,387,191,1161,7726,22593,14916,145,7532,826,318,1950,22593,38837,14392,3730,20715,6965,633,5529,38837
201408,142,73206,27750,3293,42163,8493,1102,8831,73206,40929,17119,947,22863,1738,715,4719,40929,15032,2746,303,11983,461,221,1553,15032,1755,477,177,1101,114,76,299,1755,10865,6668,378,3819,426,177,1225,10865,13395,7318,89,5988,754,304,1667,13395,38776,15591,2390,20795,7302,537,5243,38776
201409,0,67345,31920,4040,31385,7654,1079,8192,67345,35638,21095,282,14261,1647,635,3997,35638,6884,1049,78,5757,326,141,907,6884,1250,488,54,708,108,60,245,1250,14282,12875,29,1378,508,192,1167,14282,13413,6810,121,6482,728,310,1695,13413,44282,21481,3842,18959,6548,580,5278,44282
