"MonthId","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201202,-75826,-24644,-7873,-43309,-92489,927,5574,990,5956,4705,-48,1299,-1066,889,2216,8,3937,439,45,3453,-124,254,626,929,-2495,473,12,-2980,-3218,62,263,106,2873,2208,178,487,1439,149,483,-13,1766,1665,-281,382,981,464,856,-1025,-81313,-29107,-7924,-44282,-90227,183,3568,1062
201203,86487,43559,3108,39820,60333,621,-784,3527,20803,21618,1076,-1891,21762,59,-460,1174,-1537,-457,96,-1176,-759,-164,-187,246,-1906,-293,43,-1656,-1390,19,-76,10,24608,22547,832,1229,23864,72,-8,871,-460,-238,109,-331,77,192,-199,63,65270,21992,2019,41259,62064,622,-299,2305
201204,-23441,3038,-588,-25891,-46816,365,1803,-2179,9522,9013,-782,1291,7459,69,574,124,-473,348,-148,-673,232,-117,33,-122,630,-176,318,488,-450,127,69,495,7970,8148,-878,700,7906,8,163,-587,1997,755,-76,1318,-258,24,340,385,-33504,-5920,232,-27816,-46017,291,1335,-2228
201205,157343,33181,16475,107687,125479,1433,3368,7007,25017,15119,395,9503,13909,664,849,3696,18480,6856,16,11608,11137,379,195,3217,-1779,657,-305,-2131,-1553,-123,76,-93,6206,6079,448,-321,4017,252,209,125,1596,1541,231,-176,313,263,357,416,132187,19290,15994,96903,125311,1018,2586,3325
201206,-239475,-69603,-20015,-149857,-191755,-2057,-5885,-7698,-27092,-16295,-48,-10749,-13365,-1546,-1399,-4032,-8604,-3603,487,-5488,-3092,-211,-202,-2388,-2830,-900,-49,-1881,-2411,-195,-170,-243,-10983,-9856,-266,-861,-7064,-601,-392,-339,-4691,-1933,-219,-2539,-902,-789,-643,-1083,-215040,-54877,-20063,-140100,-187064,-992,-4672,-3756
201207,77748,29123,5702,42923,72382,1950,1039,1054,7713,433,2137,5143,2020,1479,443,816,3053,758,1614,681,2452,398,14,-575,3853,837,115,2901,2192,443,153,274,-2180,-3226,481,565,-3535,371,62,68,3034,2095,-74,1013,1052,544,220,1054,71068,29263,3577,38228,68190,999,622,697
201208,215501,60729,5680,149092,226482,2898,10115,8667,-22594,-25019,-2085,4510,-26350,1481,1686,3527,-8351,-3891,-2130,-2330,-9264,257,372,1608,4275,332,428,3515,4767,-27,122,251,-25464,-23803,-674,-987,-24591,178,283,47,7245,2335,293,4617,2511,1119,936,1925,243740,88338,7831,147571,217683,1944,9032,5529
201209,6743,8419,-1090,-586,-46188,-317,2905,1548,54978,36632,-126,18472,47756,-455,770,2631,18988,6569,106,12313,18644,-169,115,684,3794,1268,-447,2973,1017,29,153,71,31487,29933,396,1158,28901,129,549,1032,389,-1191,-183,1763,-573,-452,-73,577,-47838,-29251,-1014,-17573,-47910,67,2051,819
201210,153706,37253,4579,111874,129318,2556,3928,1602,24844,3447,-241,21638,10950,1035,1076,1173,20302,2058,-4,18248,6524,343,414,674,2594,-28,-7,2629,2394,105,77,559,1592,868,-250,974,870,362,170,348,311,556,21,-266,1280,418,421,-455,128924,35072,4852,89000,125318,1985,3104,-1337
201211,-136773,-37913,16813,-115673,-153581,-1815,-3978,-4099,-30051,4541,-44,-34548,-26102,-712,-953,-6082,-26563,-2348,-24,-24191,-9460,-273,-510,-3500,-7315,-790,14,-6539,-5053,-104,-26,-264,-12529,-11416,-2,-1111,-10798,-94,-62,-1141,16378,19097,-31,-2688,-860,-333,-351,-1163,-109448,-43950,16866,-82364,-146689,-1477,-3278,1750
201212,-170439,-36724,-23239,-110476,-82626,-3555,-9505,-7110,-28565,-17436,73,-11202,298,-1830,-2661,-23,-4424,317,-73,-4668,-3512,-292,-466,240,-2575,-209,130,-2496,-752,-227,-318,-582,5188,5464,138,-414,6359,-591,-666,776,-26650,-22991,-108,-3551,-1785,-985,-1217,-430,-144793,-19703,-23385,-101705,-78631,-2310,-7246,-6965
201301,159534,69371,4230,85933,148552,9121,666,4855,32268,16083,412,15773,26898,5813,1330,3233,8562,2179,102,6281,8244,849,164,530,6854,1250,209,5395,5836,871,197,590,9804,8789,31,984,8393,1807,105,613,7208,4006,72,3130,4755,3017,879,1473,130996,54709,3890,72397,136060,5126,-442,1715
