candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
hashtags	201405	1964338	686262	109127	1168949	1796891	24357	99884	36238
hashtags	201406	2241363	774507	119784	1347072	2063178	32250	111935	38586
hashtags	201407	2606149	913632	137925	1554592	2416555	25340	119639	38837
hashtags	201408	3592757	1241925	148376	2202456	3409577	25170	116829	38776
hashtags	201409	3367593	1192794	134027	2040772	3199414	22388	101168	44282
job opening	201012	48	9	0	39	41	18	0	0
job opening	201101	8846	1874	120	6852	7379	1289	387	129
job opening	201102	11323	2037	209	9077	8745	1455	439	226
job opening	201103	1742	281	19	1442	1170	302	105	172
job opening	201104	6805	1370	66	5369	5333	1174	364	313
job opening	201105	3383	698	37	2648	2654	720	106	85
job opening	201106	3980	593	64	3323	2889	873	115	111
job opening	201107	7520	1159	112	6249	6192	1341	167	142
job opening	201108	14446	1861	579	12006	13171	1594	264	462
job opening	201109	9769	1360	224	8185	8713	1305	207	367
job opening	201110	6185	960	116	5109	5338	1096	188	319
job opening	201111	6652	832	138	5682	5602	1079	108	610
job opening	201112	12656	2661	370	9625	11674	1751	93	327
job opening	201201	19589	4189	421	14979	17666	2636	370	511
job opening	201202	23526	4628	466	18432	17542	2890	996	1440
job opening	201203	21989	4171	562	17256	16783	2726	809	1686
job opening	201204	21516	4519	414	16583	17015	2609	842	1564
job opening	201205	39996	11375	430	28191	28152	2988	1037	4781
job opening	201206	31392	7772	917	22703	25060	2777	835	2393
job opening	201207	34445	8530	2531	23384	27512	3175	849	1818
job opening	201208	26094	4639	401	21054	18248	3432	1221	3426
job opening	201209	45082	11208	507	33367	36892	3263	1336	4110
job opening	201210	65384	13266	503	51615	43416	3606	1750	4784
job opening	201211	38821	10918	479	27424	33956	3333	1240	1284
job opening	201212	34397	11235	406	22756	30444	3041	774	1524
job opening	201301	42959	13414	508	29037	38688	3890	938	2054
job opening	201302	38719	12424	427	25868	34186	3699	1186	2150
job opening	201303	38496	12014	424	26058	33899	3811	1200	1834
job opening	201304	47023	15122	418	31483	41085	4267	1302	3147
job opening	201305	51432	16552	1716	33164	46318	4477	1179	2418
job opening	201306	35944	9606	1307	25031	28820	4432	1431	4092
