candidate	AggregationKey	NumTweets	NumPositive	NumNegative	NumNeutral	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
job opening	201208	3426	317	57	3052	152	72	179	3426
job opening	201209	4110	208	116	3786	165	79	160	4110
job opening	201210	4784	706	12	4066	219	91	307	4784
job opening	201211	1284	283	25	976	178	73	149	1284
job opening	201212	1524	391	9	1124	163	76	190	1524
job opening	201301	2054	398	70	1586	157	92	175	2054
job opening	201302	2150	472	124	1554	180	81	330	2150
job opening	201303	1834	250	84	1500	192	89	294	1834
job opening	201304	3147	616	9	2522	239	130	370	3147
job opening	201305	2418	770	91	1557	282	118	290	2418
job opening	201306	4092	779	273	3040	264	129	480	4092
job opening	201307	3013	1334	18	1661	263	127	327	3013
job opening	201308	7356	1416	223	5717	288	145	675	7356
job opening	201309	5526	1287	21	4218	247	118	575	5526
job opening	201310	6051	1542	102	4407	240	102	587	6051
job opening	201311	4988	1056	180	3752	267	138	708	4988
job opening	201312	6759	1527	477	4755	261	115	711	6759
job opening	201401	11930	2083	1272	8575	410	158	1174	11930
job opening	201402	7539	2062	13	5464	371	155	1098	7539
job opening	201403	8403	1893	684	5826	401	183	1075	8403
job opening	201404	9982	2861	1911	5210	369	160	856	9982
job opening	201405	7463	1767	973	4723	368	146	1053	7463
job opening	201406	12971	3444	594	8933	405	215	942	12971
job opening	201407	13255	5139	237	7879	422	200	1288	13255
job opening	201408	15032	2746	303	11983	461	221	1553	15032
job opening	201409	6884	1049	78	5757	326	141	907	6884
job opportunity	201101	90	63	6	21	9	8	13	90
job opportunity	201102	45	45	0	0	10	6	4	45
job opportunity	201103	51	18	33	0	3	3	3	51
job opportunity	201104	117	63	27	27	18	13	13	117
job opportunity	201105	27	15	0	12	3	3	0	27
job opportunity	201106	130	63	0	67	21	17	14	130
job opportunity	201107	180	111	0	69	25	18	19	180
job opportunity	201108	149	84	0	65	27	21	21	149
job opportunity	201109	249	110	69	70	21	13	19	249
job opportunity	201110	153	81	12	60	21	18	18	153
job opportunity	201111	53	44	3	6	12	10	0	53
job opportunity	201112	242	175	15	52	65	31	0	242
job opportunity	201201	790	619	8	163	135	78	32	790
job opportunity	201202	777	695	12	70	71	49	77	777
job opportunity	201203	1648	578	867	203	73	53	97	1648
job opportunity	201204	1061	717	13	331	104	65	139	1061
job opportunity	201205	1186	858	0	328	103	73	167	1186
job opportunity	201206	847	563	168	116	78	56	108	847
job opportunity	201207	915	588	138	189	97	62	98	915
job opportunity	201208	962	764	72	126	131	71	135	962
job opportunity	201209	1994	1426	219	349	129	83	343	1994
job opportunity	201210	2342	1877	46	419	184	102	374	2342
job opportunity	201211	1201	909	42	250	121	81	248	1201
job opportunity	201212	1977	1469	213	295	145	94	218	1977
job opportunity	201301	2590	1928	81	581	197	137	310	2590
job opportunity	201302	3103	2501	63	539	177	109	375	3103
job opportunity	201303	2606	2205	12	389	211	123	441	2606
job opportunity	201304	2552	1852	153	547	210	113	418	2552
job opportunity	201305	3494	3043	24	427	205	137	260	3494
job opportunity	201306	2035	1576	36	423	229	141	337	2035
job opportunity	201307	3387	2065	111	1211	281	179	470	3387
job opportunity	201308	7326	4377	86	2863	308	166	1050	7326
job opportunity	201309	8438	3911	168	4359	273	152	753	8438
job opportunity	201310	7583	5779	215	1589	237	140	707	7583
job opportunity	201311	4784	3225	54	1505	267	147	750	4784
job opportunity	201312	5366	3480	108	1778	250	127	920	5366
job opportunity	201401	7040	4501	468	2071	355	178	1014	7040
job opportunity	201402	12407	10150	669	1588	328	177	989	12407
job opportunity	201403	8590	5013	180	3397	319	178	1010	8590
job opportunity	201404	7924	4824	93	3007	297	158	984	7924
job opportunity	201405	8635	6043	279	2313	430	184	1257	8635
job opportunity	201406	9115	6499	117	2499	680	237	1500	9115
job opportunity	201407	7726	4918	58	2750	387	191	1161	7726
job opportunity	201408	10865	6668	378	3819	426	177	1225	10865
job opportunity	201409	14282	12875	29	1378	508	192	1167	14282
job posting	201101	63	3	3	57	3	3	3	63
job posting	201102	60	0	3	57	7	6	12	60
job posting	201103	99	0	99	0	1	1	3	99
job posting	201104	51	12	6	33	7	7	6	51
job posting	201105	9	0	0	9	2	2	3	9
job posting	201106	72	15	6	51	13	4	3	72
job posting	201107	96	15	0	81	20	13	9	96
job posting	201108	253	54	6	193	26	13	22	253
job posting	201109	302	51	21	230	33	15	21	302
job posting	201110	164	52	24	88	29	9	15	164
job posting	201111	51	9	0	42	14	10	9	51
job posting	201112	97	27	0	70	28	15	0	97
job posting	201201	164	39	0	125	42	18	21	164
job posting	201202	270	64	3	203	38	19	48	270
job posting	201203	280	111	9	160	48	29	40	280
job posting	201204	775	41	36	698	43	23	55	775
job posting	201205	682	190	24	468	77	30	66	682
job posting	201206	439	67	21	351	68	27	54	439
job posting	201207	713	137	100	476	66	30	70	713
job posting	201208	964	315	15	634	114	36	158	964
job posting	201209	1035	524	0	511	95	37	153	1035
job posting	201210	1594	214	9	1371	92	33	152	1594
job posting	201211	1330	379	30	921	94	25	185	1330
job posting	201212	748	199	92	457	85	32	128	748
job posting	201301	1338	421	321	596	125	44	216	1338
job posting	201302	2732	343	78	2311	152	55	334	2732
job posting	201303	874	136	66	672	73	43	132	874
job posting	201304	1553	288	387	878	122	45	252	1553
job posting	201305	1095	308	78	709	140	58	171	1095
job posting	201306	5181	4575	138	468	102	54	153	5181
job posting	201307	3022	1811	78	1133	114	62	174	3022
job posting	201308	1169	231	63	875	90	50	204	1169
job posting	201309	1393	429	37	927	127	70	267	1393
job posting	201310	1572	273	26	1273	108	49	211	1572
