"MonthId","DeltaNFP","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201112,80,-1499,-78,-265,-1156,298,40,-200,-1499,-171,167,-9,-329,100,30,-50,-171,-283,52,-21,-314,42,12,-18,-283,46,18,0,28,14,5,-9,46,189,131,12,46,53,21,0,189,-123,-34,0,-89,-10,-2,-23,-123,-1236,-129,-244,-863,244,25,-158,-1236
201201,43,8493,2575,444,5474,632,142,702,8493,3214,1143,86,1985,166,95,174,3214,184,78,24,82,20,11,30,184,67,12,0,55,14,3,21,67,548,444,-7,111,70,47,32,548,2430,624,69,1737,67,44,96,2430,5546,1499,366,3681,489,74,573,5546
201202,-16,990,649,342,-1,302,31,861,990,8,471,-26,-437,3,-17,355,8,929,18,27,884,59,15,204,929,106,25,3,78,-4,1,27,106,-13,76,4,-93,-64,-29,45,-13,-1025,341,-60,-1306,17,-4,74,-1025,1062,302,360,400,320,48,541,1062
201203,-107,3527,271,943,2313,391,20,-88,3527,1174,-307,947,534,25,17,-66,1174,246,40,89,117,4,-12,-78,246,10,47,6,-43,10,10,-8,10,871,-117,855,133,2,4,20,871,63,-277,-3,343,8,17,4,63,2305,436,-8,1877,348,3,-35,2305
201204,-5,-2179,366,-1027,-1518,-14,-9,302,-2179,124,266,-925,783,-5,13,119,124,-122,-14,-92,-16,-24,7,42,-122,495,-70,27,538,-5,-6,15,495,-587,139,-854,128,31,12,42,-587,385,221,-6,170,1,8,28,385,-2228,144,-106,-2266,5,-6,219,-2228
201205,-46,7007,3020,746,3241,296,47,283,7007,3696,2171,-67,1592,44,25,49,3696,3217,1637,-48,1628,-17,9,-37,3217,-93,149,-12,-230,34,7,11,-93,125,141,-13,-3,-1,8,28,125,416,266,6,144,30,4,39,416,3325,837,809,1679,230,34,238,3325
201206,11,-7698,-3832,-23,-3843,-237,-13,-664,-7698,-4032,-2490,591,-2133,-7,-31,-187,-4032,-2388,-1606,351,-1133,28,-5,-9,-2388,-243,-123,-3,-117,-9,-3,-12,-243,-339,-295,168,-212,-25,-17,-59,-339,-1083,-487,75,-671,-7,-14,-106,-1083,-3756,-1308,-614,-1834,-224,-1,-509,-3756
201207,83,1054,1958,208,-1112,133,12,49,1054,816,1203,211,-598,86,17,58,816,-575,74,231,-880,8,1,-27,-575,274,70,79,125,-2,3,16,274,68,25,-30,73,19,6,-10,68,1054,1039,-69,84,55,9,78,1054,697,1076,4,-383,84,9,39,697
201208,-67,8667,955,-450,8162,637,78,1025,8667,3527,1065,-634,3096,226,51,354,3527,1608,-7,-528,2143,-3,14,48,1608,251,178,-85,158,48,6,88,251,47,176,-66,-63,34,9,37,47,1925,742,45,1138,154,37,197,1925,5529,237,177,5115,441,38,711,5529
201209,18,1548,692,527,329,280,46,262,1548,2631,-132,149,2614,-46,23,194,2631,684,-109,59,734,13,7,-19,684,71,209,-15,-123,-19,1,-5,71,1032,662,147,223,-2,12,208,1032,577,-930,-42,1549,-33,-2,1,577,819,357,386,76,266,26,59,819
201210,57,1602,1384,-144,362,191,95,395,1602,1173,980,-246,439,218,47,292,1173,674,498,-104,280,54,12,147,674,559,-310,9,860,-3,-4,-1,559,348,451,-173,70,55,19,31,348,-455,343,22,-820,110,30,109,-455,-1337,876,138,-2351,26,63,241,-1337
201211,-25,-4099,-2078,-251,-1770,-538,-81,-693,-4099,-6082,-1486,89,-4685,-204,-45,-311,-6082,-3500,-423,13,-3090,-41,-18,-158,-3500,-264,165,21,-450,2,-8,33,-264,-1141,-968,-4,-169,-63,-21,-126,-1141,-1163,-258,59,-964,-107,-8,-57,-1163,1750,-940,-347,3037,-349,-44,-486,1750
201212,9,-7110,-312,-717,-6081,-513,-56,-701,-7110,-23,92,121,-236,-30,1,-174,-23,240,108,-16,148,-15,3,41,240,-582,-180,62,-464,-9,7,-57,-582,776,560,171,45,24,13,-30,776,-430,-408,-96,74,-30,-26,-123,-430,-6965,-102,-861,-6002,-416,-63,-548,-6965
201301,2,4855,1044,520,3291,419,184,557,4855,3233,1339,170,1724,173,135,381,3233,530,7,61,462,-6,16,-15,530,590,222,229,139,40,12,88,590,613,459,-132,286,52,43,92,613,1473,655,12,806,101,83,207,1473,1715,-292,364,1643,229,99,202,1715
