Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Month1_opening_Absolute+NumTweets_Month1_opening_AbsoluteDelta,45.98280596,35.27973947,58.218456,35.34540808,9,6,9,7,73.20632851,-109.5936715,242.181892
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,46.18793226,37.13257292,58.61504615,37.13396594,9,6,9,7,70.74481283,-112.0551872,231.6938755
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,45.64752826,33.98299283,58.63546786,33.98495862,9,6,9,7,77.22966084,-105.5703392,239.6807713
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,46.43788133,34.50201158,59.65718183,34.50236518,9,6,9,7,67.74542401,-115.054576,230.5251081
IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,45.1982646,33.08066666,58.29354081,33.10698434,9,6,9,7,82.62082476,-100.1791752,239.6414271
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,45.92989171,32.24612436,58.99508473,32.25455342,9,6,9,7,73.84129946,-108.9587005,241.5605879
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,45.74927448,33.73650508,58.48545666,33.73658106,9,6,9,7,76.00870623,-106.7912938,239.4907449
IJC+NumTweets_Month1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta,46.6920144,33.61792031,59.3971547,33.62977609,9,6,9,7,64.69582725,-118.1041728,236.6913452
IJC+NumTweets_Week1_all_Absolute,46.3258984,36.40726186,58.53719871,36.47918922,9,6,9,7,69.08921923,-113.7107808,237.982843
IJC+NumTweets_Week1_allold_Absolute,46.53805775,36.14260742,58.27325595,36.31831371,9,6,9,7,66.54330701,-116.256693,242.3572
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute,46.59940874,36.7827907,58.69456583,36.87916054,9,6,9,7,65.80709511,-116.9929049,238.0321735
IJC+NumTweets_Week1_opportunity_Absolute,46.25483388,35.56679364,58.17196287,35.71405323,9,6,9,7,69.94199343,-112.8580066,243.7285382
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute,46.16435664,35.68288347,58.42964271,35.75504214,9,6,9,7,71.02772033,-111.7722797,240.2922888
IJC+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,47.57604972,41.21762934,58.99583959,41.34612391,9,5,9,7,54.08740338,-128.7125966,247.276835
IJC+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,47.69274395,41.32579756,59.10392585,41.46273073,9,5,9,7,52.68707265,-130.1129274,247.2087716
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week1_all_AbsoluteDelta,45.83986231,36.65265135,58.32046479,36.65380038,9,6,9,7,74.92165224,-107.8783478,239.2683956
IJC+NumTweets_Week1_allold_Absolute+NumTweets_Week1_allold_AbsoluteDelta,45.90081666,36.6004158,58.38613588,36.60173722,9,6,9,7,74.19020009,-108.6097999,242.1263785
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta,45.98591168,36.84301251,58.56416899,36.85318363,9,6,9,7,73.16905979,-109.6309402,241.2972913
IJC+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_opportunity_AbsoluteDelta,45.63559733,34.10739864,58.1894492,34.12019247,9,6,9,7,77.37283202,-105.427168,243.5309536
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,45.59753947,34.32095869,58.26377742,34.32147499,9,6,9,7,77.8295264,-104.9704736,243.7407969
IJC+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,47.15302785,38.52581455,59.07562553,38.58468192,9,5,9,7,59.16366585,-123.6363341,249.3598128
IJC+NumTweets_Week1_all_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,47.18571018,38.69108309,59.23908952,38.72224696,9,6,9,7,58.77147781,-124.0285222,248.2176381
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute,45.76691032,37.15312909,58.23889279,37.17036545,9,6,9,7,75.79707612,-107.0029239,231.9792527
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute,45.95322883,35.5458719,58.34567105,35.58235351,9,6,9,7,73.56125405,-109.2387459,243.2859589
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute,46.01465419,37.43755006,58.4623817,37.44650201,9,6,9,7,72.82414973,-109.9758503,232.8873628
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta,46.23201164,37.35469269,58.78419166,37.35496834,9,6,9,7,70.21586034,-112.5841397,234.8830567
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta,45.86366988,35.9863638,58.56263942,35.99418589,9,6,9,7,74.63596141,-108.1640386,241.5813941
IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,45.52984599,35.75670859,58.45363156,36.14247461,9,6,9,7,78.64184812,-104.1581519,236.6981622
IJC+NumTweets_Week2_all_Absolute,45.84650814,36.07046708,58.05816027,36.11136758,9,6,9,7,74.84190236,-107.9580976,237.4091234
IJC+NumTweets_Week2_allold_Absolute,46.11513561,35.78421355,58.14597584,35.91272921,9,6,9,7,71.61837273,-111.1816273,244.7289965
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute,45.86035183,36.04144736,58.07862538,36.08302367,9,6,9,7,74.67577806,-108.1242219,237.8636575
IJC+NumTweets_Week2_opportunity_Absolute,45.7445023,34.81324021,58.03196977,34.84614802,9,6,9,7,76.06597239,-106.7340276,243.8041294
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_opportunity_Absolute,45.58888958,34.70985262,57.99781596,34.71595442,9,6,9,7,77.93332507,-104.8666749,241.2013506
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute,46.02774941,35.20609179,58.13283504,35.25755161,9,6,9,7,72.66700705,-110.132993,243.1713192
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute,45.80226887,35.4519463,58.07645247,35.45954011,9,6,9,7,75.37277352,-107.4272265,236.9609738
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_opening_Absolute,45.77757311,36.63522351,57.9593432,36.66356284,9,6,9,7,75.66912269,-107.1308773,231.0175446
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute,44.59832801,33.49067798,57.5641364,33.51700759,9,6,9,7,89.82006394,-92.97993606,247.6268117
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute,44.49811534,33.73348812,57.5395667,33.73388922,9,6,9,7,91.02261589,-91.77738411,241.4684513
IJC+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute,45.97197756,35.28345842,58.07149224,35.3479189,9,6,9,7,73.33626927,-109.4637307,242.8299947
IJC+NumTweets_Week2_all_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute,45.52722547,35.28186831,57.91895863,35.28581311,9,6,9,7,78.67329434,-104.1267057,235.7963524
