Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
OneMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_AbsoluteDelta+NumVerifiedTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.50639534,45.26565825,58.88706123,45.26673649,9,7,9,9,66.92325595,-115.876744,219.7130586
OneMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.87466722,28.06607003,62.15972969,28.09472342,6,4,7,6,62.50399333,-120.2960067,269.06716
OneMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta,46.67573694,41.10935956,60.27917375,41.10954073,9,6,9,7,64.8911567,-117.9088433,242.6656577
OneMonthBefore_Revised+IJC+NumTweets_Week1_allold_Absolute+NumTweets_Week1_opening_Absolute,48.67708714,36.35619738,60.7490725,36.54578864,8,6,8,7,40.87495428,-141.9250457,226.4328687
OneMonthBefore_Revised+IJC+NumTweets_Week1_opportunity_AbsoluteDelta,46.76757499,40.33180708,60.36808669,40.36245929,9,6,9,7,63.78910014,-119.0108999,246.4396133
OneMonthBefore_Revised+IJC+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,49.37026199,40.04182586,62.59230512,40.10802339,7,5,8,6,32.55685615,-150.2431438,207.0064822
OneMonthBefore_Revised+IJC+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,48.62342713,35.10377164,61.1698025,35.15280121,7,6,7,7,41.51887442,-141.2811256,226.6442441
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_Absolute,46.10111508,42.68184589,59.84234318,42.70056617,9,6,9,7,71.78661905,-111.0133809,242.5220942
OneMonthBefore_Revised+IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opening_Absolute,45.31755072,40.36685712,59.33175643,40.38714999,8,6,9,7,81.18939142,-101.6106086,250.2291261
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta,46.15068503,40.85911786,59.82334502,40.8909666,9,6,9,7,71.19177961,-111.6082204,243.6003883
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta,46.4091048,40.98597337,60.05665721,40.98942483,9,6,9,7,68.09074246,-114.7092575,241.3045327
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,46.14167736,40.8524044,59.82184876,40.88573689,9,6,9,7,71.29987173,-111.5001283,243.442382
OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta,47.36061235,43.87585347,60.42360642,43.99666749,8,5,8,6,56.67265186,-126.1273481,248.5376571
OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_opening_AbsoluteDelta,47.50708554,42.37004992,60.31686022,42.37039331,9,6,9,7,54.91497357,-127.8850264,244.3662538
