"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"7294",7294,"OneMonthBefore_UnRevised+IJC+NumTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",41.3696655072595,25.109781851683,58.6842957560523,26.0104634852243,9,6,9,7,128.564013912886,-54.2359860871136,223.2304545455
"7317",7317,"OneMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",40.9619557968291,33.7409579395731,55.2775545136251,33.7927600744667,8,8,9,9,133.456530438051,-49.3434695619487,228.614615020526
"7318",7318,"OneMonthBefore_UnRevised+IJC+NumTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",44.5938389032511,27.857673686448,59.6479266967438,27.8577048473332,9,6,9,8,89.873933160987,-92.9260668390131,224.172987315205
"7319",7319,"OneMonthBefore_UnRevised+IJC+NumTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",40.7907295457088,23.7770426059318,61.8611330752506,23.8055971143448,9,8,10,9,135.511245451494,-47.2887545485058,190.680406111301
"7492",7492,"OneMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",43.8773693021814,28.0247195782803,56.8833971247986,28.0474724434593,8,6,9,7,98.471568373823,-84.328431626177,242.476731101949
"7639",7639,"OneMonthBefore_UnRevised+IJC+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta",43.9932266260306,27.4910122100642,57.0702673948744,27.4935002972695,8,6,9,7,97.0812804876323,-85.7187195123677,242.868654339112
"7652",7652,"OneMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",44.653940119103,36.9946284729642,60.3413338683738,37.0069183969749,8,7,10,8,89.1527185707634,-93.6472814292366,239.988475296182
"8604",8604,"OneMonthBefore_UnRevised+DeltaIJC+NumVerifiedTweets_Month1_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",42.0894506072333,31.212033555067,56.904907356351,31.6468241209456,9,8,9,9,119.9265927132,-62.8734072867997,172.494198569034
"8850",8850,"OneMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",43.1222689216584,39.7611467687509,56.1402043889036,39.761305213724,8,6,9,7,107.5327729401,-75.2672270599004,209.811635859174
"9185",9185,"OneMonthBefore_UnRevised+DeltaIJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",44.2826125789506,38.3575477307886,58.4703186315854,38.4584356456944,8,6,9,7,93.6086490525928,-89.1913509474072,207.777077729252
