"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"2607","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","47.9196562773316","35.2701922876728","61.3024055415076","35.297989656892","5","5","7","8","123","79.4","198.882471230856"
"2608","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log","46.4473323869391","34.2560350387242","62.7061858609213","34.2774471578283","5","5","7","8","123","119.2","184.306486322355"
"2609","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","45.0722646158411","27.7663933353592","64.2046220253911","28.0251837209062","6","6","7","9","145","163.2","183.286577407455"
"2610","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumDistinctUsers_Month2_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta","42.9966755531173","23.8543106751264","63.050053245736","24.1536707066562","6","6","7","8","145","161.6","187.799975725892"
"2611","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week2_hashtags_Log","46.4707648560792","34.2802578871929","62.7658187041004","34.3152661014278","5","5","7","8","123","119.2","183.390870194165"
"2612","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week2_hashtags_LogDelta","47.4596864104027","35.5675675571164","63.8642391196563","35.6073445857235","5","6","7","9","123","137.2","180.492540204323"
"2613","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_LogDelta","47.089932016012","34.6567494136239","63.3100199962597","34.7134387875911","5","5","7","8","123","119.2","182.592648697227"
"2614","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","44.2722533516266","33.8056189509767","58.4673998366681","33.8111859781339","5","5","7","7","123","145.2","200.714093249153"
"2615","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","44.3790200974953","35.6211673790817","58.5309903126506","35.9344336219182","5","6","7","8","123","161.6","197.113531788853"
"2616","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month1_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","41.5031313073792","36.9605563781455","54.2203932455517","37.0168032134707","6","5","7","7","145","145.2","217.166465482835"
"2617","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","46.5111895010951","34.3445285477263","62.7951508111785","34.3805990206545","5","5","7","8","123","119.2","184.003411074663"
"2618","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","44.6997789894127","27.4403603510571","63.789767634543","27.7685672464784","6","6","7","9","145","163.2","182.775410555105"
"2619","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Month2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumDistinctUsers_Month2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","42.1510754552985","21.0730943778033","61.9956164530551","21.319472538667","8","6","10","8","234","161.6","187.620695278661"
"2620","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week1_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","47.6378413733797","35.712837950968","63.8877428299419","35.819915012878","5","5","7","9","123","53.4","183.281917452821"
"2621","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week1_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","45.9741782525719","31.6893299260127","63.6653772440697","31.6951795045759","5","6","7","9","123","137.2","178.064594729545"
"2622","OneMonthBefore+TwoMonthBefore+NumDistinctUsers_Week1_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumDistinctUsers_Week1_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","51.6423495483108","41.3270385988155","68.0014095868699","41.535177691175","6","5","8","8","176","73.2","171.661138233086"
"2623","OneMonthBefore+TwoMonthBefore+NumTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log","44.7842146730527","29.4964458047665","61.0611267916543","29.5469692093212","5","7","7","9","123","179.6","183.82936599376"
