#Field:candidate,MonthId,NumTweets_Month1,NumDistinctTweets_Month1,NumDistinctUsers_Month1,NumPopularTweets_Month1,NumVerifiedTweets_Month1,NumTweets_Month2,NumDistinctTweets_Month2,NumDistinctUsers_Month2,NumPopularTweets_Month2,NumVerifiedTweets_Month2,NumTweets_Month3,NumDistinctTweets_Month3,NumDistinctUsers_Month3,NumPopularTweets_Month3,NumVerifiedTweets_Month3,NumTweets_Month4,NumDistinctTweets_Month4,NumDistinctUsers_Month4,NumPopularTweets_Month4,NumVerifiedTweets_Month4,NumTweets_Week1,NumDistinctTweets_Week1,NumDistinctUsers_Week1,NumPopularTweets_Week1,NumVerifiedTweets_Week1,NumTweets_Week2,NumDistinctTweets_Week2,NumDistinctUsers_Week2,NumPopularTweets_Week2,NumVerifiedTweets_Week2,NumTweets_Week3,NumDistinctTweets_Week3,NumDistinctUsers_Week3,NumPopularTweets_Week3,NumVerifiedTweets_Week3,NumTweets_Week4,NumDistinctTweets_Week4,NumDistinctUsers_Week4,NumPopularTweets_Week4,NumVerifiedTweets_Week4
job posting,201308,423835,356304,239472,29388,7586,369958,337506,233286,15900,5227,407394,377767,236443,14619,4293,436145,408616,241337,13931,5015,109997,91289,61762,7634,1864,105638,89259,58296,7108,1696,97708,82979,54682,6743,1722,100757,84931,57926,7333,1987
job posting,201309,423905,352089,232097,34582,9695,423835,356304,239472,29388,7586,369958,337506,233286,15900,5227,407394,377767,236443,14619,4293,120965,100295,62566,10114,2630,127794,105704,65476,11008,3147,107174,88611,62236,8342,2747,100020,83486,58289,7737,2069
job posting,201310,387494,315686,192000,33798,8647,434417,360632,237460,35638,9966,415463,348999,234271,29123,7368,371393,337223,233087,16383,5258,102290,84395,49312,7394,2268,98849,77244,46901,8614,3071,97143,77950,47488,9285,1914,101947,84029,51939,9315,1925
job posting,201311,427941,367862,226532,26337,10044,387494,315686,192000,33798,8647,434417,360632,237460,35638,9966,415463,348999,234271,29123,7368,117480,102657,62835,6629,2961,113181,98599,59983,6535,1641,108172,92010,61113,6493,3322,90909,77984,45679,5782,1931
job posting,201312,409037,352456,230321,23144,7330,422307,363461,224583,25686,9723,383457,312522,188848,33215,8546,442670,367086,241771,36397,10216,96450,83144,55605,5050,2023,109933,95129,64124,6499,2024,122898,104862,65538,6860,2711,105420,88852,58234,6259,1728
job posting,201401,422417,348988,232088,29141,11387,406959,351224,229805,22913,7341,426181,366713,227405,25865,9723,374942,306133,183481,32203,8269,107474,84744,59111,8921,3561,124576,100805,65637,9204,3668,129493,106661,69149,8830,2980,92548,80182,53221,5071,2627
job posting,201402,429748,338124,229997,35531,12158,414489,345273,228647,27552,10878,408354,351642,230017,23216,7394,427941,367862,226532,26337,10044,118151,92242,59454,9066,3725,110743,87581,60499,9116,2697,104067,82176,56431,8983,3057,107420,85477,59074,9122,2612
job posting,201403,499470,408371,252333,35613,11092,422283,332995,225932,34707,11880,417045,346084,229859,28218,11133,409037,352456,230321,23144,7330,150007,125739,70635,9774,3014,145238,120717,70129,9564,3309,123390,98995,66869,9720,2664,116285,89949,61256,9518,2949
job posting,201404,543694,449281,266363,38865,13323,499470,408371,252333,35613,11092,422283,332995,225932,34707,11880,417045,346084,229859,28218,11133,134683,110370,65273,9322,3741,141093,116505,69670,10490,3420,140497,115735,70321,10582,3432,142470,118650,69117,10196,2982
job posting,201405,529302,441196,261853,35180,11406,540327,446561,265222,38716,13241,512569,418916,257881,36566,11474,418015,330159,223378,33993,11775,135935,115185,65199,8538,2898,126443,105804,64561,8657,3189,132176,108349,64316,8512,2520,128589,107842,65738,8541,2572
job posting,201406,596803,513646,327291,35114,14351,529302,441196,261853,35180,11406,540327,446561,265222,38716,13241,512569,418916,257881,36566,11474,164293,142270,90954,9581,3716,168188,143200,95179,9970,5640,173970,151319,94260,9723,2832,142093,119888,75220,9025,3526
job posting,201407,648211,547268,307023,38945,18056,611606,525963,334926,36036,14811,520035,434084,257622,34342,11055,536229,443794,263311,38327,12906,173152,149145,77664,9961,3604,187376,153388,81312,11763,4977,150166,125522,71653,9556,6016,154823,133681,80161,8899,4072
job posting,201408,844212,750475,404343,39131,16781,646030,545884,304354,38705,17852,625920,538026,342792,36972,15217,515999,430487,256029,34033,11050,278067,251563,138887,10096,5928,254611,228528,119371,10959,5132,179663,158279,83173,9548,2831,164478,144210,76582,8808,3132
