MonthId_Log,NumTweets_Month1_Log,NumDistinctTweets_Month1_Log,NumDistinctUsers_Month1_Log,NumPopularTweets_Month1_Log,NumVerifiedTweets_Month1_Log,NumTweets_Month2_Log,NumDistinctTweets_Month2_Log,NumDistinctUsers_Month2_Log,NumPopularTweets_Month2_Log,NumVerifiedTweets_Month2_Log,NumTweets_Week1_Log,NumDistinctTweets_Week1_Log,NumDistinctUsers_Week1_Log,NumPopularTweets_Week1_Log,NumVerifiedTweets_Week1_Log,NumTweets_Week2_Log,NumDistinctTweets_Week2_Log,NumDistinctUsers_Week2_Log,NumPopularTweets_Week2_Log,NumVerifiedTweets_Week2_Log
201311,12.96674061,12.81546315,12.33064149,10.17873007,9.21473072,12.86745564,12.66250333,12.16525065,10.42815691,9.064967719,11.67402339,11.53914861,11.04826752,8.799209242,7.993282328,11.63674359,11.4988164,11.00181647,8.784927626,7.403061091
201312,12.9215609,12.77268107,12.34722927,10.04949085,8.899730795,12.95348782,12.80342728,12.32200063,10.15370138,9.182249492,11.47678002,11.32832932,10.9260284,8.527143522,7.612336837,11.60762637,11.46298914,11.06857399,8.779403598,7.61283103
201401,12.95374826,12.76279282,12.35487189,10.2799014,9.340227633,12.91646772,12.76917948,12.3449864,10.03945971,8.901230352,11.58500424,11.34739023,10.98717231,9.096163327,8.177796683,11.73267125,11.52094324,11.09189484,9.127393451,8.207401833
201402,12.97095427,12.73116797,12.34582154,10.47816083,9.405742668,12.93480172,12.75209069,12.33993461,10.22383041,9.29449768,11.67971875,11.43217084,10.99295818,9.112286432,8.222822131,11.61496748,11.38031936,11.01038211,9.11778639,7.899895323
201403,13.12130282,12.91993135,12.43850492,10.48046602,9.313979407,12.95343098,12.71588275,12.32798935,10.45469667,9.382611593,11.91843724,11.74196361,11.16528105,9.187481078,8.011023379,11.88612906,11.70120424,11.15809168,9.165761329,8.104401308
201404,13.20614187,13.01540381,12.49261532,10.56784938,9.497247144,13.12130282,12.91993135,12.43850492,10.48046602,9.313979407,11.81067915,11.61159364,11.08633375,9.140132477,8.227108234,11.85717453,11.66568947,11.15152509,9.258177701,8.13739583
201405,13.17931444,12.9972445,12.47553856,10.46823302,9.341894812,13.19992979,13.00933129,12.48832249,10.56400823,9.491073355,11.81993211,11.65429481,11.08519941,9.052282067,7.971776123,11.74754689,11.5693436,11.07536579,9.066123521,8.067462667
201406,13.29934235,13.14928959,12.69860496,10.46635519,9.571574905,13.17931444,12.9972445,12.47553856,10.46823302,9.341894812,12.0094067,11.86548194,11.41810916,9.16753725,8.2204031,12.03283768,11.87199753,11.46351461,9.207335863,8.637639344
201407,13.38197154,13.21269391,12.63467794,10.56990567,9.801233318,13.32384356,13.17298615,12.72166489,10.49227372,9.603125427,12.0619251,11.91267427,11.26014711,9.206432747,8.189799619,12.14087257,11.94072594,11.30604889,9.372714291,8.512582579
201408,13.64615893,13.52846162,12.91001881,10.57467027,9.728002573,13.37860122,13.21016178,12.62594678,10.56372407,9.789870826,12.53561737,12.43544873,11.84141593,9.219894585,8.687442167,12.44749217,12.33941402,11.68999157,9.301916315,8.543250726
