#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
kia	20150126	-1.23507208678853	-0.0237513862843948	52	320.510103777477	3	0	49	0	11	8	1	42
kia	20150127	278.4976592729	0.208144737872123	1338	8130.52092121701	674	185	479	0	446	384	46	439
kia	20150128	359.513380308753	0.211602931317688	1699	10251.2441128232	755	197	747	0	671	617	41	636
kia	20150129	331.671534557729	0.479294125083424	692	3488.03991214673	422	51	219	0	295	291	20	127
kia	20150130	193.26621323998	0.769984913306693	251	1444.41866946185	208	0	43	0	142	137	8	10
kia	20150131	146.448032387986	0.46639500760505	314	1750.97673331035	238	14	62	0	117	113	12	110
kia	20150201	209.63274024231	0.107229023141846	1955	9264.26585795801	1545	135	275	0	331	318	45	1289
kia	20150202	40.5258849982797	0.604863955198204	67	382.855385084238	46	8	13	0	51	50	7	4
lexus	20150122	1.07088193636401	0.152983133766287	7	48.2233067561766	2	0	5	0	5	3	2	0
lexus	20150123	-2.45643760885445	-0.614109402213612	4	19.8049741044051	0	0	4	0	2	2	0	0
lexus	20150124	-0.0427285928376706	-0.0213642964188353	2	18.1366317438935	0	0	2	0	1	1	1	0
lexus	20150125	-0.278894160219024	-0.092964720073008	3	14.8744484572503	1	0	2	0	2	2	0	0
lexus	20150126	-1.63934393084805	-0.149031266440732	11	88.6550863757339	2	0	9	0	10	10	1	0
lexus	20150127	-31.9907873106519	-0.0820276597709022	390	2451.49700545156	2	17	371	0	203	182	6	1
lexus	20150128	-6.27523011861297	-0.202426778019773	31	196.750828621393	0	5	26	0	16	15	2	4
lexus	20150129	3.2751949986216	0.0461295070228394	71	413.505909992043	68	0	3	0	9	8	3	0
lexus	20150130	-0.34943751766047	-0.00852286628440171	41	191.424754241221	33	5	3	0	8	7	2	31
lexus	20150131	1.98457205528631	0.124035753455394	16	82.7151299802742	8	0	8	0	8	7	4	0
lexus	20150201	38.6105719255918	0.0987482657943525	391	2234.61623201492	146	85	160	0	138	132	29	170
lexus	20150202	9.79806527923756	0.10650070955693	92	517.844831223114	34	40	18	0	51	49	9	3
mercedes benz	20150122	1.77776905132708	0.0740737104719617	24	117.871881124169	14	10	0	0	10	3	3	0
mercedes benz	20150123	7.82482241010796	0.652068534175663	12	84.6991285554288	10	2	0	0	7	5	0	0
mercedes benz	20150124	3.57284360203534	1.19094786734511	3	24.6667508764374	3	0	0	0	2	2	0	0
mercedes benz	20150125	-108.372069721126	-0.268247697329521	404	2412.69025570979	11	2	391	0	181	178	5	60
mercedes benz	20150126	36.6552040675105	0.180567507721727	203	1394.74899353168	85	10	108	0	142	122	7	28
mercedes benz	20150127	188.895090952046	0.227310578762992	831	5751.94291892136	524	113	194	0	272	251	46	320
mercedes benz	20150128	333.820255215003	0.455416446405189	733	3600.75624887914	411	13	309	0	410	284	12	29
mercedes benz	20150129	241.367411372596	0.410488794851354	588	2689.16949391262	304	6	278	0	305	164	16	17
mercedes benz	20150130	17.942070364497	0.233013900837623	77	402.968866551668	37	8	32	0	56	46	4	0
mercedes benz	20150131	20.5491721026153	0.289424959191765	71	345.444686965146	44	0	27	0	31	29	7	0
mercedes benz	20150201	393.202468959282	0.34612893394303	1136	5473.0863986604	628	45	463	0	549	421	44	54
mercedes benz	20150202	41.7481999437486	0.302523187998179	138	838.339406111774	71	17	50	0	95	83	10	3
nissan	20150123	3.67209974278464	0.91802493569616	4	27.4430507457135	3	1	0	0	4	4	0	0
nissan	20150124	2.22055546849722	0.444111093699444	5	57.912761287216	5	0	0	0	2	1	2	0
nissan	20150125	2.33162226653251	0.582905566633128	4	25.5285708336997	3	0	1	0	4	4	0	0
nissan	20150126	2.96125938917564	0.227789183782741	13	127.298300435665	4	9	0	0	5	4	1	0
nissan	20150127	-0.349247729215509	-0.349247729215509	1	6.2363695902037	0	1	0	0	1	1	0	0
nissan	20150128	-28.2026718569599	-0.158441976724494	178	1174.81753902079	2	62	114	0	68	53	8	19
nissan	20150129	-2.09641639908223	-0.0374360071264684	56	263.959406043252	4	6	46	0	23	23	1	0
nissan	20150130	4.15524940050901	0.0561520189257974	74	439.147800134031	15	9	50	0	32	24	9	5
nissan	20150131	5.14294249340261	0.076760335722427	67	292.947895586661	50	4	13	0	13	13	8	2
nissan	20150201	336.388991747156	0.0649775916065589	5177	26449.4424647517	2186	1444	1547	0	1661	1570	249	1880
nissan	20150202	182.653778277367	0.204768809727989	892	3616.0106461288	306	36	550	0	345	309	29	472
toyota	20150122	-3.58386848658664	-0.223991780411665	16	99.3767919434478	2	13	1	0	10	4	5	0
toyota	20150123	54.5946109968969	0.093324121362217	585	4593.86961108684	106	4	475	0	174	135	22	68
toyota	20150124	27.645843800611	0.337144436592817	82	545.239477549059	54	1	27	0	52	29	15	0
toyota	20150125	49.6364382671083	0.393939986246891	126	966.763589414706	75	1	50	0	64	44	17	28
toyota	20150126	-44.0672066878392	-0.0672781781493728	655	4244.01041665256	78	2	575	0	326	283	29	108
toyota	20150127	73.3872899174598	0.174731642660619	420	2351.35838615589	301	4	115	0	122	91	36	200
toyota	20150128	58.274976632066	0.396428412463034	147	875.192100926662	88	2	57	0	90	79	16	0
toyota	20150129	32.2771399815889	0.347066021307408	93	647.003466764347	67	3	23	0	41	41	4	26
toyota	20150130	36.2391010871842	0.431417870085526	84	533.96546892363	60	6	18	0	44	40	10	4
toyota	20150131	15.0123436071723	0.0493827092341194	304	1139.50230341695	286	0	18	0	16	16	3	266
toyota	20150201	528.976171947047	0.0772679187769569	6846	26473.7490959236	4065	362	2419	0	1097	1025	169	4993
toyota	20150202	51.3697324731465	0.0854737645143869	601	5084.8894448536	83	31	487	0	104	96	24	7
